,Layer,Ovarian_cyst nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,42,34,0.22899159663865554
1,coex_BST,19,28,-0.10317460317460325
2,coex_OVR,27,33,0.2329618019273192
3,coex_LNG,32,25,0.2698295454545452
4,coex_ITI,38,32,0.5127349624060149
5,coex_VGN,36,28,0.11458333333333304
6,coex_HRV,19,13,1.0741396761133606
7,coex_MSG,35,29,0.2433343596059112
8,coex_ADV,20,27,0.2787037037037039
9,coex_EMS,24,21,0.2936507936507937
10,coex_SMU,28,24,0.2516025641025643
11,coex_ARG,29,32,0.44862604540023865
12,coex_TST,34,32,0.1160316399286987
13,coex_PIT,30,32,0.026006925460178687
14,coex_LVR,30,29,0.2931034482758619
15,coex_THY,25,26,0.7200000000000002
16,coex_PNC,32,24,0.2715814566849257
17,coex_ATC,32,30,0.5628024193548384
18,coex_BRO,33,27,0.40119586671310836
19,coex_SKN,31,30,0.08491098184382206
20,coex_ADS,31,23,0.962103786816269
21,coex_GEJ,32,32,1.2555797255234862
22,coex_BRB,23,19,0.9595183611201916
23,coex_UTR,22,24,0.09659090909090917
24,coex_STM,36,27,0.39748677248677255
25,coex_HRA,27,33,0.6150816339495586
26,coex_PRS,26,20,0.2801003344481603
27,coex_ATA,27,31,0.5125448028673834
28,coex_FIB,19,22,-0.17930913758898348
29,coex_BRC,24,29,-0.005036630036630019
30,coex_ATT,27,28,0.5172466422466422
31,coex_TNV,19,22,1.214285714285714
32,coex_SPL,29,24,-0.09301127738017767
33,coex_LCL,14,18,0.16694033935413244
34,coex_CLS,32,25,0.08630952380952417
35,coex_EMC,35,26,0.16978922716627642
36,coex_CLT,37,27,0.18582813582813573
37,coex_core,40,36,0.44631776138625456
38,coex_WBL,27,28,0.17053317053317052
39,co-essential,7,9,-0.26488095238095255
40,GOBP,20,17,1.4618055555555554
41,ppi,47,45,0.12369205468187894
42,reactome_copathway,11,17,0.15048076923076925
43,MP,18,12,1.9472222222222224
44,HP,17,37,0.6940764293705468
45,GI_net,13,17,0.4589743589743591
46,gene_gene_on_CbG_name_mapped,7,6,0.5531135531135534
47,gene_gene_on_GcG_name_mapped,29,34,0.04709584983418669
48,GOMF,9,6,
