,Layer,Infection_of_bone nodes,Epididymitis nodes,sAB
0,coex_KDN,30,42,-0.18849206349206327
1,coex_BST,19,29,0.8840852130325816
2,coex_OVR,18,30,0.2871647509578543
3,coex_LNG,20,35,0.4112781954887219
4,coex_ITI,20,43,0.32399020807833545
5,coex_VGN,16,30,0.3494410569105688
6,coex_HRV,17,21,0.15406162464985984
7,coex_MSG,24,42,0.3124999999999998
8,coex_ADV,34,38,0.8254787295034971
9,coex_EMS,27,29,1.0615674547550074
10,coex_SMU,12,24,0.25054896794027215
11,coex_ARG,11,25,0.26515151515151514
12,coex_TST,14,28,0.375
13,coex_PIT,19,33,-0.0903987240829347
14,coex_LVR,27,28,0.07288359788359777
15,coex_THY,9,24,0.4346949509116409
16,coex_PNC,30,27,0.8929939792008756
17,coex_ATC,16,32,0.3072916666666665
18,coex_BRO,13,31,-0.0013534852244529993
19,coex_SKN,15,32,0.8720238095238093
20,coex_ADS,24,31,2.0062805474095797
21,coex_GEJ,20,36,0.9440267335004178
22,coex_BRB,11,25,-0.25142857142857156
23,coex_UTR,6,20,1.0722488038277511
24,coex_STM,22,32,0.21269794721407642
25,coex_HRA,18,28,0.5168164488017433
26,coex_PRS,12,28,0.5161161161161161
27,coex_ATA,28,29,0.3472730972730971
28,coex_FIB,6,22,0.11796536796536783
29,coex_BRC,8,29,-0.13628899835796426
30,coex_ATT,26,26,0.5715789473684212
31,coex_TNV,31,27,1.1893667861409796
32,coex_SPL,25,23,0.1834782608695651
33,coex_LCL,7,16,0.16110248447204922
34,coex_CLS,17,35,0.6322676072363183
35,coex_EMC,15,28,-0.03655632984901258
36,coex_CLT,16,33,0.17449186991869925
37,coex_core,41,44,0.5734672304439745
38,coex_WBL,24,30,0.04675925925925917
39,co-essential,7,15,0.3452380952380949
40,GOBP,23,9,1.291666666666667
41,ppi,47,49,0.1356247286148502
42,reactome_copathway,16,22,0.3887254901960784
43,MP,13,15,-0.1964935064935065
44,HP,12,14,0.5141941391941391
45,GI_net,15,25,0.17298245614035057
46,gene_gene_on_CbG_name_mapped,14,10,-0.0976190476190475
47,gene_gene_on_GcG_name_mapped,29,28,-0.08800017284590789
48,GOMF,6,5,
