,Layer,Sinusitis nodes,Periodontitis nodes,sAB
0,coex_KDN,41,36,0.05892857142857144
1,coex_BST,21,19,0.061668811668811774
2,coex_OVR,33,20,0.11418269230769251
3,coex_LNG,43,28,0.46288913498215845
4,coex_ITI,39,28,0.003211962167186
5,coex_VGN,31,21,0.521944261575598
6,coex_HRV,28,25,0.24690476190476174
7,coex_MSG,40,30,0.12142857142857144
8,coex_ADV,31,27,0.21546356868937488
9,coex_EMS,27,19,-0.0626614987080103
10,coex_SMU,32,17,-0.23090277777777768
11,coex_ARG,28,17,-0.04119981325863664
12,coex_TST,38,21,0.10397816575336671
13,coex_PIT,33,24,0.2585725677830941
14,coex_LVR,35,30,0.11121636983705963
15,coex_THY,37,17,0.2123945212180507
16,coex_PNC,34,24,0.12708080944048117
17,coex_ATC,38,27,-0.10397897897897912
18,coex_BRO,36,21,0.1906850459482039
19,coex_SKN,33,17,-0.02516469038208191
20,coex_ADS,37,20,0.17129629629629628
21,coex_GEJ,30,26,0.37667943805874815
22,coex_BRB,28,20,0.08307453416149047
23,coex_UTR,23,12,0.4103896103896103
24,coex_STM,37,27,-0.038601101101101154
25,coex_HRA,23,25,0.3428030303030303
26,coex_PRS,32,18,-0.18067226890756283
27,coex_ATA,35,19,0.2087218045112782
28,coex_FIB,20,14,-0.062184873949580055
29,coex_BRC,25,16,-0.36429878048780484
30,coex_ATT,35,18,0.12358276643990918
31,coex_TNV,22,18,-0.051007815713697724
32,coex_SPL,37,26,0.0027142527142527406
33,coex_LCL,21,11,0.3857142857142857
34,coex_CLS,29,18,0.13160919540229887
35,coex_EMC,36,23,-0.1349381806272003
36,coex_CLT,35,18,0.26073529411764707
37,coex_core,40,31,0.07717661691542266
38,coex_WBL,37,28,-0.007484407484407596
39,co-essential,4,10,-1.3357142857142854
40,GOBP,18,17,0.8811594202898547
41,ppi,49,49,0.2142857142857142
42,reactome_copathway,19,29,0.5028195488721807
43,MP,17,15,0.7394957983193278
44,HP,28,13,0.01015143393192175
45,GI_net,19,21,0.2631578947368416
46,gene_gene_on_CbG_name_mapped,11,25,0.062020202020202087
47,gene_gene_on_GcG_name_mapped,28,30,-0.015394088669950623
48,GOMF,1,2,
