,Layer,Neoplasm_of_esophagus nodes,Medulloblastoma nodes,sAB
0,coex_KDN,43,47,0.10623214143414939
1,coex_BST,29,37,0.48563924425993377
2,coex_OVR,35,37,0.11252491099218531
3,coex_LNG,38,43,0.2810795291415449
4,coex_ITI,42,43,0.07063057781252047
5,coex_VGN,34,39,0.053813095311886494
6,coex_HRV,26,19,-0.12761904761904774
7,coex_MSG,41,41,0.04878048780487809
8,coex_ADV,24,35,0.27639751552795033
9,coex_EMS,32,39,-0.11654259718775828
10,coex_SMU,33,42,0.30826839826839847
11,coex_ARG,38,38,0.2099762920815551
12,coex_TST,43,46,0.13426909487508665
13,coex_PIT,41,40,0.1485019572417945
14,coex_LVR,37,36,0.04321444732403634
15,coex_THY,37,39,0.1483568588831745
16,coex_PNC,38,39,-0.025163433058169815
17,coex_ATC,41,40,0.41411701142327906
18,coex_BRO,38,40,0.008569500674763919
19,coex_SKN,37,43,0.148962916404777
20,coex_ADS,32,33,0.7884469196192492
21,coex_GEJ,27,34,-0.12944272445820415
22,coex_BRB,34,20,-0.16034858387799567
23,coex_UTR,25,32,0.17150219298245606
24,coex_STM,38,42,-0.07587719298245621
25,coex_HRA,30,38,-0.022755417956656254
26,coex_PRS,27,38,-0.15650303643724683
27,coex_ATA,32,40,0.26139705882352926
28,coex_FIB,34,40,0.08381618381618394
29,coex_BRC,36,39,0.6022649572649572
30,coex_ATT,36,39,0.2688696280245577
31,coex_TNV,25,15,0.35128205128205137
32,coex_SPL,34,42,0.23323013415892646
33,coex_LCL,18,32,0.14583333333333326
34,coex_CLS,39,37,0.2277665192228997
35,coex_EMC,38,39,0.11202903308166468
36,coex_CLT,39,43,0.10899672033392971
37,coex_core,40,44,0.14870129870129856
38,coex_WBL,38,36,0.23609135451240748
39,co-essential,12,21,0.7426739926739927
40,GOBP,15,9,0.8739878542510118
41,ppi,50,50,0.050000000000000044
42,reactome_copathway,33,27,0.4994212962962963
43,MP,11,14,-0.12591756070016968
44,HP,19,30,0.175402792696026
45,GI_net,31,37,0.19307283823412846
46,gene_gene_on_CbG_name_mapped,16,12,0.0803571428571428
47,gene_gene_on_GcG_name_mapped,29,37,-0.0882402778954503
48,GOMF,8,2,
