,Layer,Diabetes_insipidus nodes,Anaphylaxis nodes,sAB
0,coex_KDN,33,40,0.3360528360528361
1,coex_BST,22,14,0.143048128342246
2,coex_OVR,24,25,0.5625
3,coex_LNG,33,30,1.2424764890282132
4,coex_ITI,32,26,0.28949767904509294
5,coex_VGN,29,27,0.4699872286079183
6,coex_HRV,20,30,0.9124999999999999
7,coex_MSG,31,34,0.1768063056488105
8,coex_ADV,26,29,1.1193528693528694
9,coex_EMS,24,21,1.0867248062015502
10,coex_SMU,22,25,0.30517127799736476
11,coex_ARG,22,18,0.933080808080808
12,coex_TST,34,27,0.4338101360762885
13,coex_PIT,31,32,0.4583893369175627
14,coex_LVR,25,36,0.6503201506591338
15,coex_THY,29,25,0.6850132625994694
16,coex_PNC,20,22,0.594876881783172
17,coex_ATC,31,28,0.40666250097633383
18,coex_BRO,31,30,0.4646437032987061
19,coex_SKN,25,27,0.5816012558869703
20,coex_ADS,19,32,1.0108197884416925
21,coex_GEJ,23,28,1.7523310023310024
22,coex_BRB,16,25,0.03333333333333366
23,coex_UTR,21,14,1.0952380952380953
24,coex_STM,28,23,0.7118651808549505
25,coex_HRA,27,25,0.9191948470209339
26,coex_PRS,25,26,0.8758843537414962
27,coex_ATA,25,28,0.47453703703703676
28,coex_FIB,21,10,0.29078341013824893
29,coex_BRC,24,19,0.6881151048352585
30,coex_ATT,28,31,0.808225108225108
31,coex_TNV,13,29,0.9429045092838195
32,coex_SPL,28,29,0.4361550427793619
33,coex_LCL,17,8,-0.06602941176470578
34,coex_CLS,29,22,0.4129720853858787
35,coex_EMC,30,27,0.4186813186813185
36,coex_CLT,30,20,0.474543501611171
37,coex_core,33,39,0.7315026697177727
38,coex_WBL,24,31,0.7143572825024442
39,co-essential,6,2,0.33333333333333304
40,GOBP,12,23,0.5422077922077921
41,ppi,45,48,0.1719758064516128
42,reactome_copathway,15,17,0.5710144927536231
43,MP,14,17,2.290064102564102
44,HP,27,12,0.8952991452991452
45,GI_net,18,16,0.34545454545454524
46,gene_gene_on_CbG_name_mapped,7,14,0.16666666666666674
47,gene_gene_on_GcG_name_mapped,31,30,0.14353075973911533
48,GOMF,3,8,
