,Layer,Cardiomyopathy nodes,Stroke_disorder nodes,sAB
0,coex_KDN,32,42,0.017530487804878092
1,coex_BST,20,21,0.13803088803088848
2,coex_OVR,26,28,-0.07697683169381264
3,coex_LNG,21,37,0.520214796076865
4,coex_ITI,30,37,0.09068172650262207
5,coex_VGN,30,30,0.1106060606060606
6,coex_HRV,41,29,0.9507028715607353
7,coex_MSG,45,38,0.402265201155499
8,coex_ADV,17,28,0.820378151260504
9,coex_EMS,33,22,0.06395509977827096
10,coex_SMU,32,24,0.913690476190476
11,coex_ARG,19,22,-0.26023391812865526
12,coex_TST,31,32,0.09089666484417713
13,coex_PIT,20,34,0.035180995475113
14,coex_LVR,19,40,0.07915923282783233
15,coex_THY,31,27,0.8576923076923078
16,coex_PNC,16,28,0.4884551495016609
17,coex_ATC,38,31,1.0040537880465537
18,coex_BRO,20,33,0.10411663807890204
19,coex_SKN,24,31,0.2076923076923074
20,coex_ADS,23,31,0.18762795330050386
21,coex_GEJ,21,32,0.18242264647794615
22,coex_BRB,20,29,0.10582336382829016
23,coex_UTR,18,15,0.1959595959595961
24,coex_STM,29,34,0.21256318619401782
25,coex_HRA,42,30,0.3976305498044628
26,coex_PRS,42,31,0.44920634920634916
27,coex_ATA,19,32,0.1757449690402475
28,coex_FIB,11,20,0.32519936204146704
29,coex_BRC,25,31,0.3949177090190914
30,coex_ATT,27,32,0.17058135692315535
31,coex_TNV,28,28,0.9890313390313392
32,coex_SPL,24,31,-0.08076923076923093
33,coex_LCL,15,8,0.2339285714285717
34,coex_CLS,26,30,0.4988553113553116
35,coex_EMC,23,30,0.09776361819090451
36,coex_CLT,26,27,0.005066387141858808
37,coex_core,42,39,0.8239348370927315
38,coex_WBL,29,32,0.8022629310344829
39,co-essential,5,7,-0.3404761904761904
40,GOBP,29,16,0.9663933277263808
41,ppi,49,49,0.22448979591836737
42,reactome_copathway,10,25,0.3583333333333334
43,MP,31,18,0.22402751423149914
44,HP,39,20,0.21301607996523275
45,GI_net,12,13,-0.4489743589743589
46,gene_gene_on_CbG_name_mapped,5,16,-0.10119047619047628
47,gene_gene_on_GcG_name_mapped,32,30,-0.11797715053763436
48,GOMF,4,5,
