,Layer,Erythema_nodosum nodes,Myelodysplastic_syndrome nodes,sAB
0,coex_KDN,36,45,0.1450617283950617
1,coex_BST,27,38,0.05407513108117068
2,coex_OVR,28,39,-0.2843269914165436
3,coex_LNG,30,44,0.07510237510237516
4,coex_ITI,37,45,-0.07117117117117111
5,coex_VGN,30,43,-0.08481469682489129
6,coex_HRV,20,22,0.2809837787373093
7,coex_MSG,34,44,0.05897778691896338
8,coex_ADV,32,37,-0.041319444444444464
9,coex_EMS,31,39,-0.25554609088552294
10,coex_SMU,27,34,-0.11769170327511702
11,coex_ARG,25,35,0.09619047619047616
12,coex_TST,33,45,-0.09518259518259509
13,coex_PIT,32,36,0.18923611111111116
14,coex_LVR,28,41,0.057642781396757936
15,coex_THY,25,33,-0.1352850877192986
16,coex_PNC,32,36,-0.0055147058823528106
17,coex_ATC,30,41,-0.07590175197526627
18,coex_BRO,29,39,0.30925970581143014
19,coex_SKN,29,42,0.05052264808362383
20,coex_ADS,28,29,0.6594014313597918
21,coex_GEJ,28,40,-0.1170168067226891
22,coex_BRB,19,21,-0.044590643274853736
23,coex_UTR,23,37,0.15674603174603186
24,coex_STM,34,43,0.12631247001972024
25,coex_HRA,28,39,0.061261107313738794
26,coex_PRS,30,42,-0.10926478410694052
27,coex_ATA,32,32,0.14035618279569873
28,coex_FIB,25,41,0.0806356245380635
29,coex_BRC,25,36,0.12166666666666659
30,coex_ATT,35,41,0.11465464234474254
31,coex_TNV,20,19,0.30885547201336694
32,coex_SPL,28,42,0.08597883597883604
33,coex_LCL,24,38,0.17689892315694178
34,coex_CLS,31,40,0.04727092099111729
35,coex_EMC,29,44,0.05588546955715468
36,coex_CLT,33,44,-0.06727272727272737
37,coex_core,37,47,0.17708578143360754
38,coex_WBL,30,41,0.20081300813008118
39,co-essential,5,25,-0.0066666666666663765
40,GOBP,28,15,2.236036036036036
41,ppi,47,50,0.056354463698179647
42,reactome_copathway,18,25,0.45734126984126977
43,MP,11,11,1.024162679425837
44,HP,19,32,0.35400443071965637
45,GI_net,25,37,0.268288288288288
46,gene_gene_on_CbG_name_mapped,9,7,0.17757936507936511
47,gene_gene_on_GcG_name_mapped,29,38,-0.1649240187447516
48,GOMF,10,3,
