,Layer,Abetalipoproteinaemia nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,40,39,0.32835929892891946
1,coex_BST,31,29,0.5768075639599557
2,coex_OVR,36,30,0.17499999999999982
3,coex_LNG,37,25,0.9232955536181344
4,coex_ITI,40,42,0.31800232288037167
5,coex_VGN,33,37,0.42286182286182283
6,coex_HRV,24,28,0.5501190476190476
7,coex_MSG,40,40,0.4375
8,coex_ADV,28,29,1.0689547143721374
9,coex_EMS,30,31,0.46666666666666656
10,coex_SMU,30,21,0.34061624649859934
11,coex_ARG,28,28,0.625
12,coex_TST,36,34,0.2933006535947713
13,coex_PIT,32,35,0.05634469696969702
14,coex_LVR,35,30,0.28968253968253954
15,coex_THY,31,32,0.5905027102062403
16,coex_PNC,29,26,0.4437786351579458
17,coex_ATC,36,33,0.5547870004391744
18,coex_BRO,36,35,0.24186787391012743
19,coex_SKN,35,34,0.3642735355011568
20,coex_ADS,33,28,0.9080086580086584
21,coex_GEJ,32,32,0.9967195188627667
22,coex_BRB,27,29,0.6568828680897645
23,coex_UTR,21,16,0.21983590733590708
24,coex_STM,37,38,0.47741109530583214
25,coex_HRA,32,27,0.33878688010043945
26,coex_PRS,33,34,0.16528320962034737
27,coex_ATA,30,32,1.0458333333333334
28,coex_FIB,26,17,0.21611721611721602
29,coex_BRC,34,29,0.3368186355001772
30,coex_ATT,32,33,0.4885416666666669
31,coex_TNV,21,24,0.7204545454545452
32,coex_SPL,36,26,0.4477529638819959
33,coex_LCL,24,15,0.26373873873873865
34,coex_CLS,32,39,0.32828996983408754
35,coex_EMC,30,34,0.3217171717171716
36,coex_CLT,34,38,0.3021155830753355
37,coex_core,39,38,0.5921052631578947
38,coex_WBL,34,18,0.32088989441930615
39,co-essential,6,3,-0.05555555555555536
40,GOBP,24,26,1.2208333333333337
41,ppi,50,45,0.10415204678362566
42,reactome_copathway,12,6,0.46678321678321666
43,MP,14,17,1.0303030303030303
44,HP,27,18,0.338888888888889
45,GI_net,13,11,-0.20600233100233067
46,gene_gene_on_CbG_name_mapped,11,9,0.1227272727272728
47,gene_gene_on_GcG_name_mapped,30,32,-0.048219086021505264
48,GOMF,7,8,
