,Layer,Gingivostomatitis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,28,48,0.661105889724311
1,coex_BST,8,42,0.3452380952380949
2,coex_OVR,13,42,1.0952214452214455
3,coex_LNG,39,47,1.1382154049150586
4,coex_ITI,20,44,0.5341454411221851
5,coex_VGN,15,42,0.7499999999999998
6,coex_HRV,21,35,1.875
7,coex_MSG,36,47,0.7846741576234015
8,coex_ADV,31,38,1.8080571344209049
9,coex_EMS,11,39,0.8542191142191147
10,coex_SMU,14,40,0.7546081277213352
11,coex_ARG,11,37,1.2445733935095635
12,coex_TST,19,46,0.20313325118817138
13,coex_PIT,17,44,0.5499729010642489
14,coex_LVR,34,43,0.7949304457512394
15,coex_THY,15,43,1.3594760759155307
16,coex_PNC,20,42,0.9167434715821814
17,coex_ATC,29,39,1.1271601961257136
18,coex_BRO,21,42,1.1706349206349205
19,coex_SKN,19,46,0.9442369364270891
20,coex_ADS,22,40,1.760403530895334
21,coex_GEJ,32,39,1.5854437522571323
22,coex_BRB,20,29,0.8813898971566847
23,coex_UTR,7,42,1.038327526132404
24,coex_STM,31,42,1.1389853334175029
25,coex_HRA,21,45,1.466922514619883
26,coex_PRS,9,45,0.8592592592592592
27,coex_ATA,34,39,1.5568530419400344
28,coex_FIB,6,39,0.8401709401709403
29,coex_BRC,13,42,0.6100566100566098
30,coex_ATT,18,43,0.7786688051323174
31,coex_TNV,13,32,1.3510416666666667
32,coex_SPL,37,45,1.0913718596645428
33,coex_LCL,13,30,2.3567307692307695
34,coex_CLS,12,44,0.6953163115953815
35,coex_EMC,31,43,1.192226823829245
36,coex_CLT,21,42,0.8568733153638814
37,coex_core,36,48,1.3528506884681586
38,coex_WBL,35,40,0.7159313725490195
39,co-essential,1,15,
40,GOBP,18,25,0.6546717171717171
41,ppi,47,46,0.2145066793988044
42,reactome_copathway,20,9,1.315
43,MP,14,12,1.067857142857143
44,HP,14,8,0.3392857142857144
45,GI_net,12,18,0.2643097643097643
46,gene_gene_on_CbG_name_mapped,18,4,0.6792929292929295
47,gene_gene_on_GcG_name_mapped,25,35,0.1100000000000001
48,GOMF,9,6,
