,Layer,Head_and_neck_neoplasm nodes,Neoplasm_of_the_pancreas nodes,sAB
0,coex_KDN,45,43,-0.07120963327859875
1,coex_BST,31,34,-0.06301015029667778
2,coex_OVR,38,32,-0.15953101547698134
3,coex_LNG,41,39,-0.02431712191872104
4,coex_ITI,43,40,-0.1168390127550647
5,coex_VGN,42,35,-0.14783549783549788
6,coex_HRV,21,26,0.5824844720496891
7,coex_MSG,44,39,-0.004904232313870827
8,coex_ADV,26,32,0.2529189560439562
9,coex_EMS,34,36,0.047211611917494345
10,coex_SMU,27,31,0.05990194866724319
11,coex_ARG,37,32,0.034962434449374635
12,coex_TST,39,39,0.0
13,coex_PIT,36,35,-0.016339869281045694
14,coex_LVR,38,38,-0.0657894736842104
15,coex_THY,37,31,-0.23225550028206587
16,coex_PNC,36,38,0.16068041725936455
17,coex_ATC,36,35,0.1264147688060735
18,coex_BRO,39,31,0.1538934184095475
19,coex_SKN,39,33,0.018057060310581408
20,coex_ADS,33,31,0.5166666666666666
21,coex_GEJ,40,34,0.0499167499167501
22,coex_BRB,33,24,-0.2318181818181817
23,coex_UTR,27,28,-0.2962962962962963
24,coex_STM,44,39,-0.19043657146066773
25,coex_HRA,36,34,0.40545609548167105
26,coex_PRS,35,34,-0.22366110623353808
27,coex_ATA,31,28,0.5438102220360284
28,coex_FIB,33,33,-0.10326479076479078
29,coex_BRC,35,32,0.001639125799573593
30,coex_ATT,34,31,0.15287114845938365
31,coex_TNV,27,22,0.5214054238444481
32,coex_SPL,37,35,-0.04749034749034764
33,coex_LCL,27,24,0.18847020933977454
34,coex_CLS,43,33,0.02518410852713182
35,coex_EMC,38,36,-0.1194059091390447
36,coex_CLT,43,35,-0.02613150523367258
37,coex_core,44,42,0.15869007535674218
38,coex_WBL,36,35,-0.15714285714285725
39,co-essential,19,19,0.5923710792131844
40,GOBP,16,8,0.06353383458646622
41,ppi,49,50,-0.09145330859616574
42,reactome_copathway,28,36,0.20211640211640214
43,MP,9,9,-1.3873626373626378
44,HP,21,25,-0.12409937888198752
45,GI_net,29,33,0.028300336060783193
46,gene_gene_on_CbG_name_mapped,20,14,0.06260504201680672
47,gene_gene_on_GcG_name_mapped,32,34,-0.15093025846702313
48,GOMF,4,3,
