,Layer,Postherpetic_neuralgia nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,37,42,-0.1977135363211313
1,coex_BST,14,28,0.46161343529764576
2,coex_OVR,19,31,-0.3702561669829221
3,coex_LNG,26,34,0.05139316897791524
4,coex_ITI,31,39,0.046591043365237006
5,coex_VGN,25,33,-0.1331661442006269
6,coex_HRV,17,29,-0.34998677132022227
7,coex_MSG,23,41,-0.19961227465535525
8,coex_ADV,24,27,-0.006944444444444642
9,coex_EMS,16,23,-0.15743450390189517
10,coex_SMU,17,27,0.2368199515942333
11,coex_ARG,11,20,0.8687628161312371
12,coex_TST,27,32,-0.151335922787194
13,coex_PIT,28,35,-0.27222222222222237
14,coex_LVR,33,37,-0.22404352404352412
15,coex_THY,14,22,-0.12077138547726785
16,coex_PNC,20,30,-0.2516666666666667
17,coex_ATC,13,30,0.7516696481812759
18,coex_BRO,26,31,-0.029210743981541887
19,coex_SKN,20,30,0.29339080459770095
20,coex_ADS,16,23,0.29016861761426993
21,coex_GEJ,21,31,0.02499999999999991
22,coex_BRB,25,28,-0.24561624649859937
23,coex_UTR,12,12,-0.08860342555994727
24,coex_STM,22,35,0.10576441102756906
25,coex_HRA,21,31,0.018077803203661258
26,coex_PRS,20,31,-0.17745098039215712
27,coex_ATA,18,30,0.08423520923520966
28,coex_FIB,14,21,-0.027056277056277445
29,coex_BRC,21,26,0.1428571428571428
30,coex_ATT,16,26,0.18383097165991868
31,coex_TNV,16,28,-0.30545404208194915
32,coex_SPL,26,24,0.03519230769230752
33,coex_LCL,11,13,-0.025757575757575868
34,coex_CLS,27,33,-0.08299984306340225
35,coex_EMC,15,26,-0.07151344590368947
36,coex_CLT,22,35,0.03859348198970847
37,coex_core,31,37,0.13194444444444442
38,coex_WBL,22,27,0.2811104239675668
39,co-essential,4,9,-0.44764957264957284
40,GOBP,26,9,0.7644927536231885
41,ppi,49,49,-0.1326530612244896
42,reactome_copathway,23,26,0.38279112192155673
43,MP,12,15,1.361038961038961
44,HP,22,11,0.06060606060606055
45,GI_net,18,20,-0.40557275541795645
46,gene_gene_on_CbG_name_mapped,15,16,-0.38118279569892477
47,gene_gene_on_GcG_name_mapped,25,29,-0.3773690932311624
48,GOMF,5,6,
