,Layer,Myalgia nodes,Abdominal_pain nodes,sAB
0,coex_KDN,39,37,-0.22772878141299202
1,coex_BST,20,28,0.14891304347826084
2,coex_OVR,29,32,-0.24614012153759202
3,coex_LNG,37,35,0.05800085800085775
4,coex_ITI,33,36,-0.05664466873706009
5,coex_VGN,33,30,-0.14567099567099562
6,coex_HRV,30,23,-0.3050724637681159
7,coex_MSG,37,41,-0.09871034261278155
8,coex_ADV,31,36,-0.11800148312940273
9,coex_EMS,27,31,-0.14814814814814836
10,coex_SMU,27,28,0.03532744334631133
11,coex_ARG,29,30,-0.2562244301578023
12,coex_TST,34,32,-0.08663698730112412
13,coex_PIT,31,35,-0.0710794581762324
14,coex_LVR,30,40,-0.10198412698412684
15,coex_THY,26,30,-0.1332926332926334
16,coex_PNC,28,33,0.1978035625576613
17,coex_ATC,33,37,-0.24479934479934462
18,coex_BRO,26,31,-0.028884245352836402
19,coex_SKN,30,32,-0.01848118279569877
20,coex_ADS,27,26,0.09333515184579033
21,coex_GEJ,31,33,-0.2787994764484649
22,coex_BRB,20,19,-0.07483660130718928
23,coex_UTR,24,23,0.027578630897317158
24,coex_STM,32,32,-0.125
25,coex_HRA,28,29,-0.47336012444905373
26,coex_PRS,31,31,-0.11340560549973544
27,coex_ATA,27,34,-0.12491582491582465
28,coex_FIB,22,25,-0.1718955512572533
29,coex_BRC,23,27,0.05375201288244735
30,coex_ATT,31,31,-0.06284760845383763
31,coex_TNV,19,19,-0.10416666666666696
32,coex_SPL,35,40,0.4482142857142857
33,coex_LCL,17,21,0.34943977591036424
34,coex_CLS,31,34,-0.03837986807626281
35,coex_EMC,31,34,-0.026663353513448396
36,coex_CLT,32,34,-0.21367278554778557
37,coex_core,40,40,0.04852941176470593
38,coex_WBL,31,38,0.22162022703818351
39,co-essential,4,16,-0.31228070175438605
40,GOBP,27,23,1.5110215871085435
41,ppi,48,50,0.08266156462585017
42,reactome_copathway,20,21,0.5925039872408295
43,MP,8,15,0.505566801619433
44,HP,41,35,0.16267068462190437
45,GI_net,17,27,-0.14398890869479097
46,gene_gene_on_CbG_name_mapped,10,10,0.20000000000000018
47,gene_gene_on_GcG_name_mapped,35,36,-0.28086854460093913
48,GOMF,8,5,
