,Layer,Epididymitis nodes,Periodontitis nodes,sAB
0,coex_KDN,42,36,-0.19264069264069272
1,coex_BST,29,19,0.009018759018758704
2,coex_OVR,30,20,0.017424798239177974
3,coex_LNG,35,28,0.12768390510325967
4,coex_ITI,43,28,-0.07948855926255205
5,coex_VGN,30,21,0.2511904761904764
6,coex_HRV,21,25,0.23134920634920597
7,coex_MSG,42,30,0.12777777777777777
8,coex_ADV,38,27,0.03302125506072873
9,coex_EMS,29,19,0.4699233716475093
10,coex_SMU,24,17,-0.2065217391304346
11,coex_ARG,25,17,-0.007164404223227727
12,coex_TST,28,21,0.08588435374149661
13,coex_PIT,33,24,-0.16487240829346073
14,coex_LVR,28,30,0.08906965690087265
15,coex_THY,24,17,0.5162202180643427
16,coex_PNC,27,24,0.42599033816425136
17,coex_ATC,32,27,-0.09854637476459516
18,coex_BRO,31,21,-0.17251565638662414
19,coex_SKN,32,17,0.5525709219858155
20,coex_ADS,31,20,0.4009329538266919
21,coex_GEJ,36,26,0.8561904761904762
22,coex_BRB,25,20,-0.29388888888888887
23,coex_UTR,20,12,0.30211893369788134
24,coex_STM,32,27,0.11113171013059775
25,coex_HRA,28,25,0.35711279461279455
26,coex_PRS,28,18,0.06696978308231483
27,coex_ATA,29,19,0.020374933990494837
28,coex_FIB,22,14,-0.3185425685425687
29,coex_BRC,29,16,-0.24571360153256716
30,coex_ATT,26,18,0.26888888888888873
31,coex_TNV,27,18,0.5538225391166565
32,coex_SPL,23,26,0.07380042317930524
33,coex_LCL,16,11,0.1775000000000002
34,coex_CLS,35,18,-0.5324159967017108
35,coex_EMC,28,23,-0.1870813542808425
36,coex_CLT,33,18,-0.12244897959183665
37,coex_core,44,31,0.2964470284237726
38,coex_WBL,30,28,-0.05229885057471262
39,co-essential,15,10,0.12261904761904763
40,GOBP,9,17,0.29166666666666696
41,ppi,49,49,0.10204081632653073
42,reactome_copathway,22,29,0.2928571428571429
43,MP,15,15,0.15659340659340693
44,HP,14,13,0.07153032153032135
45,GI_net,25,21,-0.14177033492822977
46,gene_gene_on_CbG_name_mapped,10,25,-0.18285714285714283
47,gene_gene_on_GcG_name_mapped,28,30,-0.2573891625615765
48,GOMF,5,2,
