,Layer,Optic_neuritis nodes,Conjunctivitis nodes,sAB
0,coex_KDN,38,39,-0.07973605342026402
1,coex_BST,23,30,0.32947771397320214
2,coex_OVR,24,37,0.00821690334402203
3,coex_LNG,34,39,0.0688616938616935
4,coex_ITI,33,39,0.05458430458430463
5,coex_VGN,29,35,0.21454741379310338
6,coex_HRV,14,24,-0.09226190476190466
7,coex_MSG,34,41,0.10516021042563373
8,coex_ADV,27,30,0.2550505050505052
9,coex_EMS,25,34,0.12600199401794665
10,coex_SMU,28,28,0.17857142857142838
11,coex_ARG,29,33,0.2102167391377625
12,coex_TST,32,33,-0.09364801864801864
13,coex_PIT,32,35,0.1769056503198294
14,coex_LVR,33,35,0.093646138807429
15,coex_THY,28,35,0.517323775388292
16,coex_PNC,30,33,0.09192031550207336
17,coex_ATC,30,35,0.06813186813186811
18,coex_BRO,32,33,-0.06443903318903321
19,coex_SKN,27,35,0.3486398847054586
20,coex_ADS,23,33,0.3947393186523618
21,coex_GEJ,27,36,0.19907407407407396
22,coex_BRB,22,23,-0.043478260869564966
23,coex_UTR,22,26,0.2405697139739693
24,coex_STM,30,32,0.031451612903225845
25,coex_HRA,28,30,-0.031568144499178885
26,coex_PRS,26,35,0.0021257431093495427
27,coex_ATA,27,35,0.5579365079365077
28,coex_FIB,25,28,0.09078167115902969
29,coex_BRC,30,26,0.00586080586080584
30,coex_ATT,26,35,0.06931206380857446
31,coex_TNV,15,24,0.3599358974358977
32,coex_SPL,31,37,0.09252386715073246
33,coex_LCL,26,27,0.06962962962962971
34,coex_CLS,28,34,0.17802927622661957
35,coex_EMC,33,36,0.12560386473429963
36,coex_CLT,33,37,0.19942669942669933
37,coex_core,38,40,0.23039811066126847
38,coex_WBL,35,37,0.18174044265593547
39,co-essential,13,8,1.310475708502024
40,GOBP,21,20,1.3379928315412184
41,ppi,50,49,0.2531931560502987
42,reactome_copathway,22,25,0.4224806201550386
43,MP,11,20,0.7678885630498535
44,HP,17,33,0.4159714795008911
45,GI_net,19,24,0.21402973898160038
46,gene_gene_on_CbG_name_mapped,7,14,0.3928571428571428
47,gene_gene_on_GcG_name_mapped,36,34,-0.05494864612511674
48,GOMF,10,4,4.0
