,Layer,Seizure nodes,Status_epilepticus nodes,sAB
0,coex_KDN,38,39,0.013157894736842257
1,coex_BST,27,29,0.32567049808429105
2,coex_OVR,29,23,0.3509212462414433
3,coex_LNG,38,32,0.30147058823529393
4,coex_ITI,34,32,0.05765374331550799
5,coex_VGN,33,27,0.035834222274900185
6,coex_HRV,18,26,0.2726770493528359
7,coex_MSG,36,36,0.13888888888888906
8,coex_ADV,30,22,0.07960372960372952
9,coex_EMS,32,23,0.32427124505928884
10,coex_SMU,33,25,0.04190177638453507
11,coex_ARG,33,25,-0.009848484848484773
12,coex_TST,42,33,0.1582683982683981
13,coex_PIT,42,38,0.18919172932330852
14,coex_LVR,30,35,0.2760073260073259
15,coex_THY,28,32,0.6923491379310347
16,coex_PNC,36,25,0.01619047619047631
17,coex_ATC,34,27,0.6028697453480483
18,coex_BRO,41,37,0.11377888207156506
19,coex_SKN,38,26,0.2501349527665315
20,coex_ADS,25,28,0.2875741239892182
21,coex_GEJ,33,24,0.30645161290322553
22,coex_BRB,32,31,0.43009152585765476
23,coex_UTR,26,21,-0.2898829431438128
24,coex_STM,34,34,0.22058823529411775
25,coex_HRA,34,30,0.17904411764705896
26,coex_PRS,29,20,0.23242326205318387
27,coex_ATA,31,28,0.395639693821761
28,coex_FIB,28,20,0.09642857142857153
29,coex_BRC,43,37,0.3105908233815211
30,coex_ATT,34,26,-0.21083083583083573
31,coex_TNV,23,28,0.641837169650469
32,coex_SPL,38,24,-0.30548245614035086
33,coex_LCL,23,17,0.09637905505451583
34,coex_CLS,33,28,0.3424451410658309
35,coex_EMC,29,25,-0.0417073302971156
36,coex_CLT,34,28,0.2579628625643806
37,coex_core,34,38,0.33071649712516615
38,coex_WBL,29,34,-0.06445796709488394
39,co-essential,9,9,-0.21446078431372584
40,GOBP,15,14,0.17857142857142883
41,ppi,48,50,0.1545238095238095
42,reactome_copathway,20,19,0.29764065335753154
43,MP,10,12,-0.572222222222222
44,HP,35,18,0.1177871148459384
45,GI_net,22,20,0.16620879120879106
46,gene_gene_on_CbG_name_mapped,15,21,0.25317460317460316
47,gene_gene_on_GcG_name_mapped,39,32,-0.06171000361141199
48,GOMF,3,4,
