,Layer,Benign_Neonatal_Epilepsy nodes,Status_epilepticus nodes,sAB
0,coex_KDN,29,39,0.38800552590947257
1,coex_BST,27,29,0.7701149425287355
2,coex_OVR,18,23,0.3989898989898988
3,coex_LNG,22,32,0.5206228956228958
4,coex_ITI,37,32,0.2721675479827652
5,coex_VGN,37,27,0.5646965646965647
6,coex_HRV,21,26,0.5380523731587563
7,coex_MSG,26,36,0.2918734491315136
8,coex_ADV,22,22,0.6818181818181821
9,coex_EMS,27,23,1.1236714975845405
10,coex_SMU,16,25,0.4272865853658536
11,coex_ARG,29,25,0.5700549450549453
12,coex_TST,35,33,0.3203972498090144
13,coex_PIT,31,38,0.42597377033045425
14,coex_LVR,15,35,0.4619047619047618
15,coex_THY,22,32,0.8618738769092547
16,coex_PNC,31,25,0.05831797235023073
17,coex_ATC,24,27,0.9923747276688455
18,coex_BRO,43,37,0.18661219358893755
19,coex_SKN,28,26,0.6263736263736259
20,coex_ADS,29,28,0.5743453461239303
21,coex_GEJ,29,24,1.0018351214003385
22,coex_BRB,38,31,0.2935397751039588
23,coex_UTR,17,21,0.7930555555555552
24,coex_STM,32,34,0.6995329149029337
25,coex_HRA,22,30,0.9828671328671328
26,coex_PRS,19,20,0.3157894736842106
27,coex_ATA,21,28,0.7780612244897958
28,coex_FIB,8,20,0.15892857142857153
29,coex_BRC,42,37,0.5678802630022142
30,coex_ATT,22,26,0.4433899433899433
31,coex_TNV,30,28,0.5094827586206896
32,coex_SPL,12,24,0.2708333333333335
33,coex_LCL,4,17,0.3074229691876753
34,coex_CLS,36,28,0.7901457194899819
35,coex_EMC,20,25,0.5799242424242426
36,coex_CLT,33,28,0.3232142857142857
37,coex_core,38,38,1.1113086770981508
38,coex_WBL,13,34,0.34774237027053045
39,co-essential,6,9,-0.1048076923076926
40,GOBP,26,14,0.3443627450980391
41,ppi,50,50,0.21999999999999975
42,reactome_copathway,13,19,0.6924917188075086
43,MP,14,12,0.8999999999999999
44,HP,15,18,0.2863636363636364
45,GI_net,14,20,0.28125
46,gene_gene_on_CbG_name_mapped,13,21,0.2203188967894849
47,gene_gene_on_GcG_name_mapped,35,32,0.05314498933901901
48,GOMF,6,4,
