,Layer,Chorea nodes,Urticaria nodes,sAB
0,coex_KDN,42,39,0.13112196445529767
1,coex_BST,40,16,0.43166666666666664
2,coex_OVR,37,25,0.2131647776809067
3,coex_LNG,40,31,0.5808029453015426
4,coex_ITI,45,33,0.3466977466977468
5,coex_VGN,41,27,0.3547842401500936
6,coex_HRV,19,20,0.5878733997155048
7,coex_MSG,44,33,0.18993506493506485
8,coex_ADV,33,28,0.4387781758471414
9,coex_EMS,40,21,0.5416666666666665
10,coex_SMU,37,21,0.17203656858829253
11,coex_ARG,38,21,0.5087719298245614
12,coex_TST,47,21,0.029128672745694084
13,coex_PIT,45,30,0.10222222222222221
14,coex_LVR,33,32,0.27331349206349187
15,coex_THY,37,24,0.36815278801277307
16,coex_PNC,36,23,0.2852902644722839
17,coex_ATC,38,26,0.3292636639676114
18,coex_BRO,42,26,0.27233120113717124
19,coex_SKN,41,31,0.21519971721456344
20,coex_ADS,33,28,0.9855699855699855
21,coex_GEJ,44,30,1.058116883116883
22,coex_BRB,26,19,0.1429599640125958
23,coex_UTR,31,14,-0.0029185867895549222
24,coex_STM,43,27,0.2686108034945245
25,coex_HRA,40,21,0.1914585191793039
26,coex_PRS,39,24,0.3237179487179489
27,coex_ATA,36,25,0.3279690346083788
28,coex_FIB,27,16,0.23527670111972454
29,coex_BRC,44,19,-0.05724958820299619
30,coex_ATT,39,29,0.7177477694719077
31,coex_TNV,21,18,0.7533577533577533
32,coex_SPL,35,35,0.16280875986758336
33,coex_LCL,26,14,0.1555677655677652
34,coex_CLS,39,27,0.48962148962148966
35,coex_EMC,39,26,0.3073870573870572
36,coex_CLT,42,26,0.5322128851540615
37,coex_core,43,35,0.4839717282261744
38,coex_WBL,35,37,0.37799227799227797
39,co-essential,13,5,1.3948717948717948
40,GOBP,23,25,1.076082251082251
41,ppi,50,48,0.30715136054421754
42,reactome_copathway,16,22,1.185483870967742
43,MP,17,17,1.8053249525616697
44,HP,26,25,0.9598340874811462
45,GI_net,21,15,0.3571428571428572
46,gene_gene_on_CbG_name_mapped,8,13,0.45329670329670346
47,gene_gene_on_GcG_name_mapped,38,31,0.11021505376344098
48,GOMF,3,8,
