,Layer,Myalgia nodes,Gangrene nodes,sAB
0,coex_KDN,39,33,-0.17165352561942604
1,coex_BST,20,21,0.09637049941928
2,coex_OVR,29,27,0.10832877212187553
3,coex_LNG,37,31,0.37870347110368985
4,coex_ITI,33,32,-0.078125
5,coex_VGN,33,35,0.11357270180799595
6,coex_HRV,30,14,0.30836550836550813
7,coex_MSG,37,34,0.2974036588369646
8,coex_ADV,31,19,0.5498139652494314
9,coex_EMS,27,27,-0.01638176638176647
10,coex_SMU,27,22,0.3551501408644264
11,coex_ARG,29,22,-0.10536753886507588
12,coex_TST,34,32,-0.011642156862744946
13,coex_PIT,31,28,-0.027835272982894566
14,coex_LVR,30,28,0.2080586080586082
15,coex_THY,26,24,0.05238550269606179
16,coex_PNC,28,24,0.20009157509157482
17,coex_ATC,33,25,0.1550888192267501
18,coex_BRO,26,26,-0.0023227752639520816
19,coex_SKN,30,34,0.15502450980392157
20,coex_ADS,27,23,0.7004830917874396
21,coex_GEJ,31,29,0.08038171067267763
22,coex_BRB,20,20,0.043421052631578805
23,coex_UTR,24,20,-0.17386363636363633
24,coex_STM,32,29,-0.17531974279253815
25,coex_HRA,28,23,0.1554926318353429
26,coex_PRS,31,26,0.2484562211981567
27,coex_ATA,27,23,0.3276006441223833
28,coex_FIB,22,21,0.0001258431490991363
29,coex_BRC,23,25,-0.1446739130434782
30,coex_ATT,31,22,0.4834559840646264
31,coex_TNV,19,16,1.125
32,coex_SPL,35,31,0.6329283619606203
33,coex_LCL,17,25,0.3148366013071895
34,coex_CLS,31,23,-0.025299385046930745
35,coex_EMC,31,30,0.10096208262591966
36,coex_CLT,32,28,-0.203125
37,coex_core,40,34,0.21870759837177745
38,coex_WBL,31,33,0.211021505376344
39,co-essential,4,10,1.2111111111111108
40,GOBP,27,22,1.7091767881241573
41,ppi,48,49,0.1859373904200854
42,reactome_copathway,20,17,1.4779817487266553
43,MP,8,19,0.8194444444444446
44,HP,41,31,0.630485619372323
45,GI_net,17,22,0.17218565747977532
46,gene_gene_on_CbG_name_mapped,10,12,0.33106060606060606
47,gene_gene_on_GcG_name_mapped,35,30,0.06666666666666665
48,GOMF,8,6,
