,Layer,West_syndrome nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,46,39,0.29978687127024717
1,coex_BST,37,16,0.27857905982906006
2,coex_OVR,38,21,0.3126035427551932
3,coex_LNG,38,24,0.32534606294781865
4,coex_ITI,40,31,0.1816163107678328
5,coex_VGN,40,28,0.7232142857142856
6,coex_HRV,23,17,0.244309611956671
7,coex_MSG,42,26,0.21132299073475536
8,coex_ADV,35,22,0.28293310463121735
9,coex_EMS,40,21,0.6838827838827841
10,coex_SMU,39,18,0.1590982546864903
11,coex_ARG,40,17,0.1682920536635708
12,coex_TST,44,22,0.2007575757575757
13,coex_PIT,43,26,0.7368165201835577
14,coex_LVR,38,33,0.3791866028708133
15,coex_THY,37,25,0.9476576576576572
16,coex_PNC,37,26,0.4436111936111935
17,coex_ATC,39,24,0.4199481074481075
18,coex_BRO,42,24,0.8754612257661036
19,coex_SKN,41,21,0.41751772197524906
20,coex_ADS,21,23,0.2735338725985845
21,coex_GEJ,36,20,0.6742557150451884
22,coex_BRB,20,20,0.875
23,coex_UTR,34,10,0.5417112299465243
24,coex_STM,39,29,0.24499401882769023
25,coex_HRA,38,19,0.4144955896956599
26,coex_PRS,36,21,0.7424603174603173
27,coex_ATA,38,28,0.7362095141700404
28,coex_FIB,35,8,-0.08363787375415299
29,coex_BRC,42,18,0.9492337164750957
30,coex_ATT,38,26,1.7236306868867084
31,coex_TNV,16,21,0.42013888888888884
32,coex_SPL,43,31,0.19619431884998306
33,coex_LCL,27,11,0.1902902902902901
34,coex_CLS,38,28,0.22639933166248927
35,coex_EMC,35,19,0.6184349763297132
36,coex_CLT,38,24,0.3966822297679684
37,coex_core,39,34,0.5862470862470861
38,coex_WBL,36,29,0.6768199233716474
39,co-essential,11,8,0.6580086580086584
40,GOBP,22,17,0.8762175324675328
41,ppi,49,49,0.26530612244897944
42,reactome_copathway,18,23,0.8423913043478262
43,MP,5,12,2.6893939393939394
44,HP,34,30,0.6713235294117648
45,GI_net,20,18,0.3222222222222224
46,gene_gene_on_CbG_name_mapped,12,16,0.05208333333333348
47,gene_gene_on_GcG_name_mapped,33,28,-0.0003548364204100096
48,GOMF,4,9,
