,Layer,Rhinitis nodes,Otitis_media nodes,sAB
0,coex_KDN,31,35,-0.11520146520146524
1,coex_BST,13,25,0.12948717948717992
2,coex_OVR,19,26,-0.008352758352758283
3,coex_LNG,31,38,0.01619669791589784
4,coex_ITI,20,32,-0.256675696594427
5,coex_VGN,23,28,0.06501948605529195
6,coex_HRV,14,19,-0.201526543631807
7,coex_MSG,30,41,-0.010242757357151078
8,coex_ADV,19,30,0.42483363581367195
9,coex_EMS,26,26,1.1344796380090498
10,coex_SMU,14,22,0.17640692640692612
11,coex_ARG,14,19,-0.18398268398268414
12,coex_TST,28,33,-0.10009048328720471
13,coex_PIT,25,34,-0.10054621848739487
14,coex_LVR,20,27,-0.18959810874704508
15,coex_THY,16,23,0.10597826086956541
16,coex_PNC,22,23,-0.1769213877909528
17,coex_ATC,22,30,0.10739022881880045
18,coex_BRO,30,33,0.22014406358668692
19,coex_SKN,24,29,0.07310682893847176
20,coex_ADS,21,23,0.8240165631469978
21,coex_GEJ,28,35,0.9899014778325124
22,coex_BRB,23,29,0.2582771114442779
23,coex_UTR,20,17,1.0313867833884913
24,coex_STM,25,32,0.11152412280701762
25,coex_HRA,17,22,0.3205813794049086
26,coex_PRS,23,30,0.20419742958709364
27,coex_ATA,18,24,0.27222222222222214
28,coex_FIB,15,22,-0.13492063492063489
29,coex_BRC,16,24,-0.060416666666666785
30,coex_ATT,19,27,0.6332316297991354
31,coex_TNV,15,16,0.5623346560846558
32,coex_SPL,17,24,-0.09836800573888116
33,coex_LCL,9,13,-0.125
34,coex_CLS,20,31,-0.050197498354180414
35,coex_EMC,22,32,-0.06993006993007
36,coex_CLT,20,30,-0.1831543143573222
37,coex_core,28,36,0.36832579185520364
38,coex_WBL,17,26,0.09276018099547523
39,co-essential,3,10,-0.26923076923076916
40,GOBP,15,16,-0.3434065934065931
41,ppi,48,49,-0.16397100077144255
42,reactome_copathway,14,20,-0.11205432937181659
43,MP,15,17,-0.437991325562483
44,HP,19,22,0.06103545577229785
45,GI_net,20,21,-0.47353479853479885
46,gene_gene_on_CbG_name_mapped,13,8,-0.4498626373626373
47,gene_gene_on_GcG_name_mapped,25,29,-0.17798212005108538
48,GOMF,7,8,
