,Layer,Gangrene nodes,Glaucoma nodes,sAB
0,coex_KDN,33,39,0.2266899766899768
1,coex_BST,21,21,0.08452380952380967
2,coex_OVR,27,35,-0.041099163679808814
3,coex_LNG,31,33,0.5121607782898105
4,coex_ITI,32,37,0.2757601351351351
5,coex_VGN,35,40,0.27928571428571436
6,coex_HRV,14,26,0.3254771544245232
7,coex_MSG,34,41,0.29288857006217106
8,coex_ADV,19,19,0.10526315789473673
9,coex_EMS,27,29,0.49489144316730505
10,coex_SMU,22,29,0.4869998156002211
11,coex_ARG,22,29,0.8253150790096604
12,coex_TST,32,41,0.13538882392248586
13,coex_PIT,28,38,0.17512531328320802
14,coex_LVR,28,37,0.31658649281600093
15,coex_THY,24,32,0.9111660079051385
16,coex_PNC,24,34,0.3031609195402294
17,coex_ATC,25,32,0.46767045454545464
18,coex_BRO,26,33,0.2977429467084636
19,coex_SKN,34,36,0.35889355742296924
20,coex_ADS,23,26,0.6942870793802469
21,coex_GEJ,29,27,0.24919218712322166
22,coex_BRB,20,27,0.3653861308116628
23,coex_UTR,20,28,0.42521670606776985
24,coex_STM,29,39,0.26757944557133184
25,coex_HRA,23,26,0.20188041771892706
26,coex_PRS,26,28,0.03374663072776318
27,coex_ATA,23,30,0.8579710144927537
28,coex_FIB,21,27,0.07772192346660445
29,coex_BRC,25,35,-0.09190476190476193
30,coex_ATT,22,32,0.9250262822995632
31,coex_TNV,16,28,0.8636363636363638
32,coex_SPL,31,27,0.2890851681174258
33,coex_LCL,25,13,0.4318552036199095
34,coex_CLS,23,30,0.26529942575881904
35,coex_EMC,30,32,0.22395833333333326
36,coex_CLT,28,37,0.17609147609147602
37,coex_core,34,37,0.3058849363197189
38,coex_WBL,33,27,0.5411958568738231
39,co-essential,10,6,0.7777777777777777
40,GOBP,22,9,1.300751879699248
41,ppi,49,49,0.33673469387755106
42,reactome_copathway,17,23,0.7341720779220782
43,MP,19,11,0.8534188034188039
44,HP,31,20,0.8394845034788108
45,GI_net,22,21,0.3509397106958083
46,gene_gene_on_CbG_name_mapped,12,9,0.2876984126984128
47,gene_gene_on_GcG_name_mapped,30,38,0.11713106295149611
48,GOMF,6,2,
