,Layer,Cholecystitis nodes,Encephalitis nodes,sAB
0,coex_KDN,37,39,0.20904001167159092
1,coex_BST,37,18,0.2637401552495895
2,coex_OVR,33,23,0.3987859966120837
3,coex_LNG,37,38,0.5353010905642486
4,coex_ITI,39,32,0.27461967316720837
5,coex_VGN,33,29,0.1235109717868339
6,coex_HRV,22,25,0.11404040404040394
7,coex_MSG,40,34,-0.07579491255961845
8,coex_ADV,29,27,0.45913154533844214
9,coex_EMS,30,24,0.2515449822258682
10,coex_SMU,31,26,0.1797048452396499
11,coex_ARG,28,23,0.500441480940202
12,coex_TST,36,26,0.0719602977667495
13,coex_PIT,36,35,0.3424369747899161
14,coex_LVR,42,28,0.2333333333333334
15,coex_THY,32,30,0.5827533210853586
16,coex_PNC,36,26,0.1450729598270586
17,coex_ATC,34,35,0.3076194656967264
18,coex_BRO,37,34,0.23449920508744038
19,coex_SKN,36,26,0.0992211193824093
20,coex_ADS,29,29,0.25862068965517215
21,coex_GEJ,34,26,0.5117112299465241
22,coex_BRB,23,31,0.06052322752382855
23,coex_UTR,26,22,0.05619380619380632
24,coex_STM,34,33,0.2677654508207623
25,coex_HRA,36,19,0.38228905597326657
26,coex_PRS,36,27,0.14147366969947628
27,coex_ATA,34,29,0.09649947753396004
28,coex_FIB,29,19,0.3002117362371448
29,coex_BRC,34,25,0.28273180458624125
30,coex_ATT,34,29,0.32667176537093034
31,coex_TNV,23,20,0.33993506493506453
32,coex_SPL,34,30,0.06881127450980395
33,coex_LCL,23,27,0.01115942028985506
34,coex_CLS,37,27,0.06542479979979987
35,coex_EMC,36,36,0.36994478951000676
36,coex_CLT,36,27,0.18253968253968234
37,coex_core,37,39,0.19161469161469147
38,coex_WBL,33,36,0.3716512955643392
39,co-essential,12,11,2.439194577352472
40,GOBP,24,16,1.3065062388591802
41,ppi,49,50,0.21094619666048242
42,reactome_copathway,16,21,0.4605263157894737
43,MP,17,18,0.40845588235294095
44,HP,23,23,0.39130434782608714
45,GI_net,22,25,0.24293995859213258
46,gene_gene_on_CbG_name_mapped,14,10,-0.039285714285714146
47,gene_gene_on_GcG_name_mapped,31,32,0.06225198412698418
48,GOMF,9,5,
