,Layer,Bronchiectasis nodes,Dermatographic_urticaria nodes,sAB
0,coex_KDN,38,42,0.2237956763273219
1,coex_BST,26,27,0.11529054453582743
2,coex_OVR,23,30,0.05710955710955723
3,coex_LNG,42,34,0.4792127377266695
4,coex_ITI,31,40,-0.004446842344388857
5,coex_VGN,29,33,0.027943506252738892
6,coex_HRV,24,20,0.2720677451971687
7,coex_MSG,39,34,0.20351660158267726
8,coex_ADV,20,26,0.5868881118881117
9,coex_EMS,28,27,0.2634252539912918
10,coex_SMU,27,27,0.18518518518518512
11,coex_ARG,22,26,-0.003350815850815758
12,coex_TST,38,31,0.08159248049998791
13,coex_PIT,36,28,0.07868236900494963
14,coex_LVR,29,33,0.305952380952381
15,coex_THY,31,36,0.42064544650751534
16,coex_PNC,31,26,0.18379120879120858
17,coex_ATC,28,36,0.30307539682539675
18,coex_BRO,37,31,0.03028360428739907
19,coex_SKN,26,30,0.25484330484330475
20,coex_ADS,26,28,0.5617623117623118
21,coex_GEJ,28,31,0.41278411309849306
22,coex_BRB,32,21,0.13360969387755106
23,coex_UTR,20,21,0.14918699186991846
24,coex_STM,35,37,0.28839553839553833
25,coex_HRA,27,28,0.3749999999999998
26,coex_PRS,30,36,0.317216117216117
27,coex_ATA,28,32,0.4218542529094744
28,coex_FIB,22,22,0.06818181818181812
29,coex_BRC,23,25,0.03887681159420309
30,coex_ATT,31,31,0.23210975157582547
31,coex_TNV,17,18,0.6180555555555554
32,coex_SPL,27,35,0.19384620879317116
33,coex_LCL,26,26,0.019321266968325812
34,coex_CLS,34,33,-0.030303030303030276
35,coex_EMC,34,35,0.38332497177975666
36,coex_CLT,30,41,-0.1000557413600891
37,coex_core,38,40,0.26710526315789473
38,coex_WBL,30,35,0.31771859605911335
39,co-essential,4,7,0.6583333333333332
40,GOBP,29,15,2.027795733678086
41,ppi,49,48,0.21569491198541257
42,reactome_copathway,18,13,-0.005802387267904496
43,MP,16,19,1.1914943609022557
44,HP,34,23,0.6039395163099563
45,GI_net,21,21,0.32380952380952377
46,gene_gene_on_CbG_name_mapped,12,3,-0.016666666666666607
47,gene_gene_on_GcG_name_mapped,35,30,-0.022893772893772812
48,GOMF,7,6,0.0
