,Layer,Laryngeal_edema nodes,Gynecomastia nodes,sAB
0,coex_KDN,48,37,-0.053262453630100515
1,coex_BST,32,26,0.11707152496626172
2,coex_OVR,37,28,0.03499405999405969
3,coex_LNG,42,30,0.3123015873015875
4,coex_ITI,43,31,0.13156667545264678
5,coex_VGN,45,29,0.037433985709847795
6,coex_HRV,30,16,-0.016666666666666163
7,coex_MSG,48,37,-0.05235161632220442
8,coex_ADV,31,25,0.4206289308176099
9,coex_EMS,39,24,0.15156431706493612
10,coex_SMU,40,25,0.0864583333333333
11,coex_ARG,34,25,0.4764086687306506
12,coex_TST,46,36,0.07414280664545769
13,coex_PIT,44,32,0.20118122009569372
14,coex_LVR,40,27,-0.03862631288004437
15,coex_THY,38,26,0.5407435254803676
16,coex_PNC,41,28,0.07944503358077082
17,coex_ATC,39,30,0.15958751393534
18,coex_BRO,42,30,-0.048015873015872845
19,coex_SKN,47,29,0.2675213345175116
20,coex_ADS,34,21,0.33143068548173993
21,coex_GEJ,38,32,0.41061002351324927
22,coex_BRB,31,18,-0.20694444444444438
23,coex_UTR,25,23,0.4496031746031748
24,coex_STM,44,28,0.262265512265512
25,coex_HRA,41,28,0.09309998944145281
26,coex_PRS,34,26,0.09645550527903479
27,coex_ATA,39,27,0.12051282051282053
28,coex_FIB,36,22,0.2740334378265412
29,coex_BRC,42,26,0.13860159448394738
30,coex_ATT,39,24,0.1211843711843712
31,coex_TNV,26,15,0.48061288305190697
32,coex_SPL,45,27,-0.22592592592592564
33,coex_LCL,19,23,0.18465473145780065
34,coex_CLS,44,26,0.4592439915999065
35,coex_EMC,41,28,0.1099391506337426
36,coex_CLT,46,29,-0.006233184777474365
37,coex_core,46,31,0.4748531139835488
38,coex_WBL,34,26,-0.10309200603318258
39,co-essential,8,14,0.6460863697705803
40,GOBP,18,26,0.9500000000000002
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,11,14,0.7858974358974362
43,MP,14,18,1.0486111111111112
44,HP,21,39,0.30604395604395607
45,GI_net,13,19,0.1721997300944671
46,gene_gene_on_CbG_name_mapped,7,12,-0.13032581453634084
47,gene_gene_on_GcG_name_mapped,31,30,-0.08111228626828848
48,GOMF,3,11,
