,Layer,Gingival_disorder nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,48,27,0.1793055555555556
1,coex_BST,42,25,0.3954868514570009
2,coex_OVR,42,23,0.2117614269788186
3,coex_LNG,47,24,0.4452289981020878
4,coex_ITI,44,27,0.1510766580534022
5,coex_VGN,42,24,0.23890692640692657
6,coex_HRV,35,10,1.1024531024531021
7,coex_MSG,47,26,0.24757863820819215
8,coex_ADV,38,20,0.5567150635208711
9,coex_EMS,39,15,0.5829059829059831
10,coex_SMU,40,19,0.3084968777876893
11,coex_ARG,37,20,0.5253968253968255
12,coex_TST,46,28,0.18706983380896425
13,coex_PIT,44,28,0.08205629123578673
14,coex_LVR,43,18,0.30556614563476936
15,coex_THY,43,21,0.6297757475083055
16,coex_PNC,42,20,0.5369047619047618
17,coex_ATC,39,21,0.37582417582417604
18,coex_BRO,42,28,0.6547619047619047
19,coex_SKN,46,22,0.5568671792552387
20,coex_ADS,40,19,1.1679875679875678
21,coex_GEJ,39,16,0.457264957264957
22,coex_BRB,29,20,0.8993396918561993
23,coex_UTR,42,18,0.05702540076248219
24,coex_STM,42,19,-0.032889601051809825
25,coex_HRA,45,16,0.500113843351548
26,coex_PRS,45,23,0.26403162055335994
27,coex_ATA,39,18,0.644703794703795
28,coex_FIB,39,16,0.14238053613053614
29,coex_BRC,42,26,0.4031458737341087
30,coex_ATT,43,21,0.529156284606866
31,coex_TNV,32,15,1.0127437943262416
32,coex_SPL,45,20,0.3702991452991453
33,coex_LCL,30,15,0.1499999999999999
34,coex_CLS,44,24,0.41514809672567377
35,coex_EMC,43,21,0.31052971576227395
36,coex_CLT,42,29,0.31725208824159346
37,coex_core,48,22,0.22150974025974035
38,coex_WBL,40,18,0.07003968253968251
39,co-essential,15,3,0.4444444444444442
40,GOBP,25,28,1.2622859803710864
41,ppi,46,50,0.15619565217391296
42,reactome_copathway,9,10,2.25
43,MP,12,27,1.6141025641025641
44,HP,8,34,0.11659663865546244
45,GI_net,18,17,0.23811133648861826
46,gene_gene_on_CbG_name_mapped,4,11,0.3393939393939396
47,gene_gene_on_GcG_name_mapped,35,37,0.015465465465465567
48,GOMF,6,6,2.9000000000000004
