,Layer,Chorea nodes,Coronary_artery_disorder nodes,sAB
0,coex_KDN,42,43,0.011904761904762085
1,coex_BST,40,26,0.4437894073139974
2,coex_OVR,37,32,0.33555566952151406
3,coex_LNG,40,37,0.23559582309582305
4,coex_ITI,45,42,0.11972647633453071
5,coex_VGN,41,38,0.46954875611381053
6,coex_HRV,19,31,0.05691001697792908
7,coex_MSG,44,40,0.20557359307359313
8,coex_ADV,33,25,0.07525600835945712
9,coex_EMS,40,30,0.5661764705882355
10,coex_SMU,37,28,0.27384912384912363
11,coex_ARG,38,30,0.19633173843700158
12,coex_TST,47,39,0.15364950075489414
13,coex_PIT,45,41,0.2825590398761131
14,coex_LVR,33,36,0.2928743961352658
15,coex_THY,37,29,0.6594606542882402
16,coex_PNC,36,32,0.13735702614379086
17,coex_ATC,38,28,0.29321487479382213
18,coex_BRO,42,37,0.07996106413827953
19,coex_SKN,41,34,0.15454328072692514
20,coex_ADS,33,30,0.6442732408834104
21,coex_GEJ,44,27,0.5478712464006583
22,coex_BRB,26,31,-0.02089591223716858
23,coex_UTR,31,21,0.3901486401012013
24,coex_STM,43,38,0.21201097057890195
25,coex_HRA,40,29,0.330647176411794
26,coex_PRS,39,29,0.17370104540489928
27,coex_ATA,36,33,0.4031274281274282
28,coex_FIB,27,26,0.37101542761920125
29,coex_BRC,44,35,0.07301906953805704
30,coex_ATT,39,32,0.42675339366515885
31,coex_TNV,21,28,0.5246960486322187
32,coex_SPL,35,33,0.17305831423478502
33,coex_LCL,26,16,0.19716463414634156
34,coex_CLS,39,36,0.35066323684373657
35,coex_EMC,39,37,0.21645299145299135
36,coex_CLT,42,31,0.2480377922269219
37,coex_core,43,40,0.3090396469599328
38,coex_WBL,35,29,0.11574765612585391
39,co-essential,13,9,-0.013209013209013687
40,GOBP,23,17,1.1719696969696969
41,ppi,50,49,0.08920016491445071
42,reactome_copathway,16,13,0.8273809523809526
43,MP,17,17,1.072916666666667
44,HP,26,15,0.6591932457786118
45,GI_net,21,12,0.14123376623376593
46,gene_gene_on_CbG_name_mapped,8,13,0.17490842490842495
47,gene_gene_on_GcG_name_mapped,38,32,0.18035714285714288
48,GOMF,3,7,
