,Layer,Dystonic_disorder nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,45,31,0.07544802867383504
1,coex_BST,38,21,0.04245283018867929
2,coex_OVR,41,24,0.02752501563477172
3,coex_LNG,40,25,0.10769230769230731
4,coex_ITI,47,27,0.01617575021830353
5,coex_VGN,46,28,0.08730644737993187
6,coex_HRV,20,40,0.02083333333333326
7,coex_MSG,42,44,0.26664904862579286
8,coex_ADV,38,20,0.09928229665071742
9,coex_EMS,42,34,0.350048595362614
10,coex_SMU,41,36,0.23622989476648026
11,coex_ARG,45,21,0.4113247863247864
12,coex_TST,49,30,0.0054120382330147265
13,coex_PIT,41,26,0.16783344067654205
14,coex_LVR,41,18,-0.08341371549308696
15,coex_THY,33,31,1.6072376164542064
16,coex_PNC,42,16,0.19393939393939386
17,coex_ATC,43,38,0.3023142481526815
18,coex_BRO,43,27,0.1545438183758212
19,coex_SKN,42,24,0.15422077922077904
20,coex_ADS,24,21,0.3321428571428573
21,coex_GEJ,44,24,0.11702925731432856
22,coex_BRB,19,21,0.06746031746031766
23,coex_UTR,36,22,0.0458899338209684
24,coex_STM,45,29,0.05960443201822496
25,coex_HRA,43,43,0.08139534883720922
26,coex_PRS,39,43,0.4585642189158925
27,coex_ATA,34,19,0.29094589620905387
28,coex_FIB,38,17,0.266282015198424
29,coex_BRC,42,30,0.14943141435678786
30,coex_ATT,40,29,0.2905035577449371
31,coex_TNV,11,26,0.15909090909090917
32,coex_SPL,41,23,0.1382887062566276
33,coex_LCL,38,24,0.30436214516403215
34,coex_CLS,45,28,0.07504025764895328
35,coex_EMC,38,19,0.26937799043062194
36,coex_CLT,47,24,-0.008340825092398418
37,coex_core,46,41,0.5251512694155074
38,coex_WBL,41,34,1.1218914395026305
39,co-essential,14,11,0.6293706293706296
40,GOBP,18,23,1.2359131859131853
41,ppi,50,49,0.17341579055864775
42,reactome_copathway,12,17,0.4518716577540105
43,MP,16,25,1.286666666666667
44,HP,33,38,0.5464597794101129
45,GI_net,25,17,-0.1455882352941178
46,gene_gene_on_CbG_name_mapped,11,11,0.045454545454545414
47,gene_gene_on_GcG_name_mapped,32,27,-0.014644146264909175
48,GOMF,6,2,
