,Layer,Primary_dilated_cardiomyopathy nodes,Acute_intermittent_porphyria nodes,sAB
0,coex_KDN,31,31,-0.010567296996662812
1,coex_BST,21,30,0.15939849624060143
2,coex_OVR,24,23,-0.12594434165895763
3,coex_LNG,25,22,0.09555125725338476
4,coex_ITI,27,29,0.1087392811530743
5,coex_VGN,28,20,-0.005952380952380931
6,coex_HRV,40,15,0.6693181818181819
7,coex_MSG,44,27,0.23296936501161847
8,coex_ADV,20,36,0.18373983739837385
9,coex_EMS,34,35,0.443736564393199
10,coex_SMU,36,21,0.7865497076023389
11,coex_ARG,21,21,0.16716027874564476
12,coex_TST,30,23,-0.05174825174825193
13,coex_PIT,26,24,0.11709098355061087
14,coex_LVR,18,24,0.001984126984126977
15,coex_THY,31,21,0.4725370531822146
16,coex_PNC,16,37,0.4492723492723494
17,coex_ATC,38,20,0.9020417422867517
18,coex_BRO,27,23,0.005668276972624842
19,coex_SKN,24,21,-0.06785714285714262
20,coex_ADS,21,25,1.5375581395348843
21,coex_GEJ,24,18,0.18376068376068377
22,coex_BRB,21,12,-0.07142857142857117
23,coex_UTR,22,21,-0.138852813852814
24,coex_STM,29,23,-0.08885941644562334
25,coex_HRA,43,20,0.34906792174234025
26,coex_PRS,43,26,0.1454708082615057
27,coex_ATA,19,32,0.6607567305360176
28,coex_FIB,17,18,-0.0595704948646123
29,coex_BRC,30,21,-0.11542443064182217
30,coex_ATT,29,35,0.4674876847290643
31,coex_TNV,26,25,0.2814285714285716
32,coex_SPL,23,22,0.19218218586267133
33,coex_LCL,24,14,-0.1863095238095238
34,coex_CLS,28,24,0.12268518518518512
35,coex_EMC,19,24,0.08004385964912286
36,coex_CLT,24,25,-0.0002721088435373442
37,coex_core,41,38,1.1015984098720444
38,coex_WBL,34,21,1.3416828269769445
39,co-essential,11,11,0.045454545454545414
40,GOBP,23,21,3.022077922077922
41,ppi,49,49,0.2551020408163265
42,reactome_copathway,17,14,0.2959276018099546
43,MP,25,9,1.2533333333333339
44,HP,38,19,0.9342105263157894
45,GI_net,17,21,-0.18487394957983194
46,gene_gene_on_CbG_name_mapped,11,10,0.03008658008657994
47,gene_gene_on_GcG_name_mapped,27,29,0.034665207079000115
48,GOMF,2,13,
