,Layer,Nephrotic_syndrome nodes,Intermittent_claudication nodes,sAB
0,coex_KDN,43,44,0.1507830915409103
1,coex_BST,19,33,0.33394675499938664
2,coex_OVR,23,37,0.21551116333725018
3,coex_LNG,28,41,0.053530956329463475
4,coex_ITI,35,39,0.17254727254727253
5,coex_VGN,29,38,0.4477070184467862
6,coex_HRV,22,25,0.47133462282398453
7,coex_MSG,31,39,0.15652841781874027
8,coex_ADV,25,33,0.28971983990851946
9,coex_EMS,20,36,0.08888888888888857
10,coex_SMU,22,32,-0.020096801346801474
11,coex_ARG,19,38,0.07423038728897735
12,coex_TST,31,38,0.15472675377082257
13,coex_PIT,31,39,-0.01117098496592095
14,coex_LVR,39,43,0.14184010355309273
15,coex_THY,26,35,0.2799999999999998
16,coex_PNC,29,38,0.3637093396621527
17,coex_ATC,24,37,0.3103031309998521
18,coex_BRO,27,38,0.05509868421052633
19,coex_SKN,31,38,0.2908322714774325
20,coex_ADS,21,32,0.43726574500768045
21,coex_GEJ,23,35,0.22515527950310554
22,coex_BRB,25,25,0.2300000000000002
23,coex_UTR,18,33,0.46103386809269153
24,coex_STM,33,38,0.443077925286969
25,coex_HRA,25,37,0.10716418485484769
26,coex_PRS,27,37,0.12410848348348358
27,coex_ATA,27,37,0.11425487987987992
28,coex_FIB,19,36,-0.09319510898458239
29,coex_BRC,29,40,0.24321924858466293
30,coex_ATT,27,37,0.3829856584093876
31,coex_TNV,20,22,0.38863636363636367
32,coex_SPL,35,40,0.1673809523809524
33,coex_LCL,10,33,0.129148629148629
34,coex_CLS,34,38,0.4028415325018475
35,coex_EMC,24,37,0.2009673608034266
36,coex_CLT,31,38,0.41772471149824075
37,coex_core,35,42,0.21263910969793343
38,coex_WBL,32,39,0.3428964604236342
39,co-essential,4,16,1.1375000000000002
40,GOBP,22,15,0.47728937728937737
41,ppi,50,49,0.0806514120799835
42,reactome_copathway,26,21,0.871989966555184
43,MP,17,17,0.05882352941176405
44,HP,25,17,0.33882352941176475
45,GI_net,15,27,0.023606023606023818
46,gene_gene_on_CbG_name_mapped,14,13,0.40425315425315445
47,gene_gene_on_GcG_name_mapped,30,37,-0.02814306844157577
48,GOMF,8,6,
