,Layer,Sepsis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,39,42,0.10517568850902204
1,coex_BST,19,27,0.43235100273044
2,coex_OVR,27,29,0.0012771392081738497
3,coex_LNG,33,41,0.21884057971014492
4,coex_ITI,34,39,0.3658944617933848
5,coex_VGN,19,31,0.04495460249501715
6,coex_HRV,33,26,0.553333333333333
7,coex_MSG,39,39,0.1282051282051282
8,coex_ADV,34,30,0.34794278367084575
9,coex_EMS,24,28,0.14514652014652007
10,coex_SMU,25,26,0.13551282051282043
11,coex_ARG,20,32,0.125
12,coex_TST,26,31,0.05056375429889859
13,coex_PIT,32,29,0.2737068965517242
14,coex_LVR,36,33,0.08445669934640532
15,coex_THY,21,33,0.5940108633504857
16,coex_PNC,29,28,-0.1071428571428572
17,coex_ATC,28,37,-0.04129954129954161
18,coex_BRO,32,31,0.2673851126472093
19,coex_SKN,23,29,-0.05642857142857105
20,coex_ADS,23,31,0.16134226793413298
21,coex_GEJ,30,31,0.5666666666666664
22,coex_BRB,33,26,0.38127223653539466
23,coex_UTR,20,24,0.6675381903642772
24,coex_STM,34,31,0.25610859728506785
25,coex_HRA,31,26,0.5116809116809118
26,coex_PRS,26,24,0.08489795918367316
27,coex_ATA,31,30,0.2291324949881539
28,coex_FIB,23,18,0.06910569105691033
29,coex_BRC,25,24,0.2823809523809522
30,coex_ATT,22,27,-0.13955026455026465
31,coex_TNV,23,23,0.6462921136834181
32,coex_SPL,32,36,0.12275985663082434
33,coex_LCL,19,22,0.03894205209994661
34,coex_CLS,28,37,0.5641155683528563
35,coex_EMC,28,33,0.078125
36,coex_CLT,31,38,0.34900647676539
37,coex_core,38,42,0.3185328185328187
38,coex_WBL,34,39,0.1142930856553146
39,co-essential,11,5,0.019318181818182012
40,GOBP,8,25,2.5095238095238095
41,ppi,49,50,0.2626963512677798
42,reactome_copathway,26,18,0.6540277777777779
43,MP,8,12,-0.5460526315789473
44,HP,14,36,0.11515873015873024
45,GI_net,22,18,0.1654456654456653
46,gene_gene_on_CbG_name_mapped,17,14,0.15071835185687155
47,gene_gene_on_GcG_name_mapped,32,28,0.04419642857142869
48,GOMF,3,8,
