,Layer,Dyspareunia nodes,Ascites nodes,sAB
0,coex_KDN,38,43,-0.12145458391888408
1,coex_BST,21,33,0.37310606060606055
2,coex_OVR,25,28,0.23630727762803239
3,coex_LNG,33,29,0.0935719823372767
4,coex_ITI,29,35,0.13350501490918942
5,coex_VGN,28,30,0.22803536619326104
6,coex_HRV,27,23,-0.11674718196457334
7,coex_MSG,33,38,-0.04042837567670765
8,coex_ADV,20,28,0.3298701298701301
9,coex_EMS,23,35,0.060353920075002954
10,coex_SMU,25,25,0.16000000000000014
11,coex_ARG,25,28,0.2982212885154065
12,coex_TST,34,35,0.10320302033857032
13,coex_PIT,30,33,0.11038192481628029
14,coex_LVR,26,31,0.06054372904967131
15,coex_THY,28,32,0.1895587984297662
16,coex_PNC,25,36,0.3523015873015871
17,coex_ATC,32,37,0.16396179833679825
18,coex_BRO,33,34,0.16467160290689709
19,coex_SKN,26,33,0.1383588163249181
20,coex_ADS,26,29,0.6336146612008684
21,coex_GEJ,21,28,0.10289115646258518
22,coex_BRB,31,25,0.10124253285543627
23,coex_UTR,12,22,0.5871212121212119
24,coex_STM,32,34,0.03734959893048129
25,coex_HRA,30,29,0.10527396076397921
26,coex_PRS,26,29,0.3454031329763274
27,coex_ATA,35,32,0.41646825396825404
28,coex_FIB,13,22,-0.09082094376211991
29,coex_BRC,22,29,0.22217100006146673
30,coex_ATT,28,32,0.15178571428571397
31,coex_TNV,18,24,0.6333333333333329
32,coex_SPL,29,34,0.09245835134506031
33,coex_LCL,13,25,-0.010714285714285676
34,coex_CLS,22,25,0.4860869565217394
35,coex_EMC,29,35,0.05649882903981274
36,coex_CLT,27,34,0.0849196442502731
37,coex_core,33,41,0.1654937497991582
38,coex_WBL,30,31,0.050000000000000044
39,co-essential,5,8,0.8048076923076923
40,GOBP,16,19,2.1425860666847383
41,ppi,50,48,0.11297619047619056
42,reactome_copathway,13,15,0.5109890109890112
43,MP,10,14,-0.9085284280936454
44,HP,34,26,0.47843137254901946
45,GI_net,17,17,0.3058823529411767
46,gene_gene_on_CbG_name_mapped,2,6,-0.125
47,gene_gene_on_GcG_name_mapped,31,33,-0.09255865102639294
48,GOMF,11,11,
