,Layer,Renal_tubular_acidosis nodes,Alcohol_dependence nodes,sAB
0,coex_KDN,41,27,0.2070066334991707
1,coex_BST,29,14,0.2807881773399017
2,coex_OVR,31,22,0.22503018802829056
3,coex_LNG,33,25,0.8679245283018866
4,coex_ITI,30,31,0.3279481755684823
5,coex_VGN,28,31,0.38499765679918796
6,coex_HRV,18,12,0.8055555555555554
7,coex_MSG,34,24,0.27214334009465846
8,coex_ADV,29,19,0.5704707170224412
9,coex_EMS,28,22,0.474249295677867
10,coex_SMU,28,14,0.4345238095238093
11,coex_ARG,33,22,0.5789667508417509
12,coex_TST,33,31,0.29682917888563054
13,coex_PIT,33,23,0.3670033670033672
14,coex_LVR,29,21,0.16163793103448265
15,coex_THY,26,20,1.0328671328671328
16,coex_PNC,26,20,0.6011705685618729
17,coex_ATC,27,17,0.3141216082392555
18,coex_BRO,28,29,0.17294313369630965
19,coex_SKN,30,21,0.5172268907563027
20,coex_ADS,19,15,1.0826754385964912
21,coex_GEJ,31,24,0.40866416692904384
22,coex_BRB,15,23,0.3758199847444703
23,coex_UTR,24,18,0.3194444444444442
24,coex_STM,29,28,0.2820089015642555
25,coex_HRA,31,15,0.43265816454113537
26,coex_PRS,28,16,0.3392857142857144
27,coex_ATA,29,14,0.9591952165481574
28,coex_FIB,26,15,0.3400562851782367
29,coex_BRC,30,25,0.18818181818181845
30,coex_ATT,29,20,0.37005629838142173
31,coex_TNV,11,18,0.9436674436674437
32,coex_SPL,32,22,0.16645622895622902
33,coex_LCL,25,8,0.8125
34,coex_CLS,28,27,0.49482130378356803
35,coex_EMC,29,20,0.16011904761904772
36,coex_CLT,30,24,0.5175925925925924
37,coex_core,38,27,0.584008097165992
38,coex_WBL,36,20,0.624475890985325
39,co-essential,18,5,0.46717171717171757
40,GOBP,37,24,1.8823953823953825
41,ppi,49,49,0.4081632653061227
42,reactome_copathway,15,16,1.1738927738927738
43,MP,21,17,2.8306878306878307
44,HP,36,9,0.4194444444444443
45,GI_net,18,14,0.7928571428571431
46,gene_gene_on_CbG_name_mapped,17,25,0.459607843137255
47,gene_gene_on_GcG_name_mapped,31,27,-0.006406295060355172
48,GOMF,13,12,2.9
