,Layer,Epididymitis nodes,Keratitis nodes,sAB
0,coex_KDN,42,39,0.03717270383937055
1,coex_BST,29,29,0.17733990147783252
2,coex_OVR,30,41,0.21434729064039404
3,coex_LNG,35,35,0.31843259042747496
4,coex_ITI,43,35,0.3796352029183767
5,coex_VGN,30,39,0.18149386845038995
6,coex_HRV,21,20,0.3240842490842488
7,coex_MSG,42,45,0.036590038314176176
8,coex_ADV,38,30,0.005108359133126905
9,coex_EMS,29,31,0.7815721171672227
10,coex_SMU,24,25,0.3343115942028987
11,coex_ARG,25,31,0.03504767701359324
12,coex_TST,28,35,-0.009126984126984095
13,coex_PIT,33,37,0.10353340353340346
14,coex_LVR,28,32,0.08943452380952377
15,coex_THY,24,24,0.12609851988899123
16,coex_PNC,27,32,0.28119114877589446
17,coex_ATC,32,30,0.5524529569892471
18,coex_BRO,31,35,-0.07494239631336397
19,coex_SKN,32,37,0.5010037211124168
20,coex_ADS,31,31,0.7957900492072172
21,coex_GEJ,36,40,0.8112107191054561
22,coex_BRB,25,24,0.2268840579710143
23,coex_UTR,20,22,0.25761465748628787
24,coex_STM,32,33,0.16300097751710663
25,coex_HRA,28,31,0.5857549857549857
26,coex_PRS,28,32,0.27650462962962985
27,coex_ATA,29,29,0.27941885700506397
28,coex_FIB,22,21,-0.06808114366253926
29,coex_BRC,29,27,-0.01988688195584709
30,coex_ATT,26,27,0.7061689291101056
31,coex_TNV,27,21,1.2890211640211642
32,coex_SPL,23,28,0.02505784922664711
33,coex_LCL,16,21,-0.3057432432432432
34,coex_CLS,35,30,0.556926406926407
35,coex_EMC,28,34,0.2733193277310926
36,coex_CLT,33,33,0.27481381612737543
37,coex_core,44,43,0.4161129568106312
38,coex_WBL,30,30,-0.16666666666666652
39,co-essential,15,6,1.314285714285714
40,GOBP,9,20,1.6776315789473681
41,ppi,49,50,0.07065347351061657
42,reactome_copathway,22,20,0.3776315789473683
43,MP,15,16,2.0738095238095244
44,HP,14,33,0.7564014000184212
45,GI_net,25,25,0.5175000000000001
46,gene_gene_on_CbG_name_mapped,10,6,-0.1333333333333333
47,gene_gene_on_GcG_name_mapped,28,30,-0.005090311986863494
48,GOMF,5,2,
