,Layer,Gingivostomatitis nodes,Sinusitis nodes,sAB
0,coex_KDN,28,41,-0.002626050420167836
1,coex_BST,8,21,-0.10449735449735442
2,coex_OVR,13,33,0.18982371794871788
3,coex_LNG,39,43,0.7852145963320099
4,coex_ITI,20,39,-0.014776184267709658
5,coex_VGN,15,31,0.29280593958013323
6,coex_HRV,21,28,0.8024316109422491
7,coex_MSG,36,40,0.22880116959064334
8,coex_ADV,31,31,0.8602150537634408
9,coex_EMS,11,27,0.0465178096757044
10,coex_SMU,14,32,-0.16063841681574242
11,coex_ARG,11,28,0.34960872460872494
12,coex_TST,19,38,0.021929824561403466
13,coex_PIT,17,33,0.31510899814471216
14,coex_LVR,34,35,0.4504013545716794
15,coex_THY,15,37,0.1749133749133751
16,coex_PNC,20,34,0.18017429193899792
17,coex_ATC,29,38,0.4689975535880708
18,coex_BRO,21,36,0.29093567251461994
19,coex_SKN,19,33,0.5016945773524719
20,coex_ADS,22,37,0.38888888888888884
21,coex_GEJ,32,30,1.2992333239118148
22,coex_BRB,20,28,0.17736006683375094
23,coex_UTR,7,23,1.0494505494505497
24,coex_STM,31,37,0.5132955536181343
25,coex_HRA,21,23,0.8635488388376709
26,coex_PRS,9,32,0.27642276422764267
27,coex_ATA,34,35,0.5466072996362725
28,coex_FIB,6,20,0.6820512820512818
29,coex_BRC,13,25,0.21757085020242917
30,coex_ATT,18,35,0.4085714285714288
31,coex_TNV,13,22,0.31298701298701337
32,coex_SPL,37,37,0.5270270270270272
33,coex_LCL,13,21,2.0404523013218663
34,coex_CLS,12,29,0.3310509816861904
35,coex_EMC,31,36,0.5040404040404041
36,coex_CLT,21,35,0.6160130718954249
37,coex_core,36,40,0.5096428571428573
38,coex_WBL,35,37,0.41300185852795646
39,co-essential,1,4,
40,GOBP,18,18,1.2578703703703704
41,ppi,47,49,0.32007616876537837
42,reactome_copathway,20,19,1.3188596491228068
43,MP,14,17,0.5574681485497424
44,HP,14,28,0.6130952380952381
45,GI_net,12,19,0.1149920255183412
46,gene_gene_on_CbG_name_mapped,18,11,0.6589167537443399
47,gene_gene_on_GcG_name_mapped,25,28,-0.09963611859838273
48,GOMF,9,1,
