,Layer,Primary_dilated_cardiomyopathy nodes,Dermatographic_urticaria nodes,sAB
0,coex_KDN,31,42,0.24535831162759658
1,coex_BST,21,27,0.32132730816941324
2,coex_OVR,24,30,0.32638888888888884
3,coex_LNG,25,34,0.13145563310069797
4,coex_ITI,27,40,0.2860212824765065
5,coex_VGN,28,33,0.2577623525899386
6,coex_HRV,40,20,0.37916666666666643
7,coex_MSG,44,34,0.5631255998903058
8,coex_ADV,20,26,0.6527972027972027
9,coex_EMS,34,27,0.5428921568627452
10,coex_SMU,36,27,0.5105820105820107
11,coex_ARG,21,26,0.25275919732441476
12,coex_TST,30,31,0.011078794288736038
13,coex_PIT,26,28,-0.13565016395205087
14,coex_LVR,18,33,0.13388888888888895
15,coex_THY,31,36,0.7473118279569895
16,coex_PNC,16,26,-0.013508442776735574
17,coex_ATC,38,36,1.1112889204994467
18,coex_BRO,27,31,0.00473777448193502
19,coex_SKN,24,30,0.056481481481481355
20,coex_ADS,21,28,0.8410714285714285
21,coex_GEJ,24,31,0.5508684863523574
22,coex_BRB,21,21,0.253571428571429
23,coex_UTR,22,21,-0.06994362226920403
24,coex_STM,29,37,0.24718291959671257
25,coex_HRA,43,28,0.7188421225024566
26,coex_PRS,43,36,0.5845983473890453
27,coex_ATA,19,32,0.17310696095076405
28,coex_FIB,17,22,0.11277937748525968
29,coex_BRC,30,25,0.05666666666666664
30,coex_ATT,29,31,0.24104972603304065
31,coex_TNV,26,18,0.7555555555555555
32,coex_SPL,23,35,0.2980437026069007
33,coex_LCL,24,26,0.3847357723577238
34,coex_CLS,28,33,0.3749778486620592
35,coex_EMC,19,35,0.6979467900520535
36,coex_CLT,24,41,0.32661782661782635
37,coex_core,41,40,1.064008953380673
38,coex_WBL,34,35,1.0863381716322893
39,co-essential,11,7,0.8547237076648839
40,GOBP,23,15,2.25895979020979
41,ppi,49,48,0.35865725156041783
42,reactome_copathway,17,13,0.9398836457659985
43,MP,25,19,0.9826794258373206
44,HP,38,23,0.8536688299508572
45,GI_net,17,21,0.48879551820728295
46,gene_gene_on_CbG_name_mapped,11,3,0.31818181818181834
47,gene_gene_on_GcG_name_mapped,27,30,0.08547758284600371
48,GOMF,2,6,
