,Layer,beta_Thalassemia nodes,Narcolepsy nodes,sAB
0,coex_KDN,29,34,0.23085491969540772
1,coex_BST,19,25,0.18454545454545457
2,coex_OVR,21,25,-0.005974025974026187
3,coex_LNG,31,27,0.37477598566308234
4,coex_ITI,24,31,0.21027614858260013
5,coex_VGN,25,30,-0.02757575757575781
6,coex_HRV,16,13,0.09214743589743568
7,coex_MSG,26,26,0.13461538461538458
8,coex_ADV,20,24,0.2563008130081301
9,coex_EMS,22,27,0.24057955440934187
10,coex_SMU,19,25,0.15873015873015905
11,coex_ARG,22,27,0.0724077509791794
12,coex_TST,24,33,0.1280901116427431
13,coex_PIT,25,32,0.28883771929824587
14,coex_LVR,33,26,0.39558480734951296
15,coex_THY,19,25,0.3092764857881134
16,coex_PNC,21,25,0.0019047619047620756
17,coex_ATC,22,27,0.312014704871848
18,coex_BRO,24,37,0.07222222222222197
19,coex_SKN,18,27,-0.24074074074074092
20,coex_ADS,16,20,0.25747180451127827
21,coex_GEJ,19,25,0.3273809523809521
22,coex_BRB,15,26,0.5845045045045043
23,coex_UTR,21,25,-0.048701298701298246
24,coex_STM,26,28,0.28296703296703285
25,coex_HRA,19,25,0.3489473684210527
26,coex_PRS,27,29,0.07627200385821054
27,coex_ATA,17,23,0.427557544757033
28,coex_FIB,17,21,-0.00591216216216206
29,coex_BRC,23,34,0.13111903800421754
30,coex_ATT,17,25,0.7354166666666666
31,coex_TNV,15,13,0.37087912087912134
32,coex_SPL,38,26,1.1009471009471008
33,coex_LCL,16,20,0.4061859193438142
34,coex_CLS,24,33,0.19487639553429048
35,coex_EMC,26,25,0.05494505494505475
36,coex_CLT,24,28,0.3276098901098903
37,coex_core,32,31,0.42551319648093866
38,coex_WBL,34,25,1.0306914344685243
39,co-essential,11,13,1.0664335664335662
40,GOBP,28,22,1.7117088338018571
41,ppi,50,48,0.305858843537415
42,reactome_copathway,10,17,0.9702614379084966
43,MP,15,13,2.4173626373626376
44,HP,22,18,1.3563131313131314
45,GI_net,16,21,0.24761904761904785
46,gene_gene_on_CbG_name_mapped,15,4,0.16973684210526296
47,gene_gene_on_GcG_name_mapped,32,28,0.06770833333333326
48,GOMF,2,11,
