,Layer,Chorea nodes,Joint_hemorrhage nodes,sAB
0,coex_KDN,42,38,0.26130952380952377
1,coex_BST,40,17,0.9360849056603775
2,coex_OVR,37,26,0.5741675741675745
3,coex_LNG,40,33,0.2858914487339148
4,coex_ITI,45,25,0.5479365079365079
5,coex_VGN,41,30,0.4187965189511049
6,coex_HRV,19,21,0.6189223057644107
7,coex_MSG,44,37,0.2890731640731641
8,coex_ADV,33,23,0.6994871070958024
9,coex_EMS,40,21,0.9896370023419201
10,coex_SMU,37,27,0.8562781531531529
11,coex_ARG,38,21,0.7669691470054447
12,coex_TST,47,30,0.4406005342175554
13,coex_PIT,45,27,0.13800409293367033
14,coex_LVR,33,40,0.7019406392694065
15,coex_THY,37,26,0.8631100082712986
16,coex_PNC,36,29,0.4590859332238644
17,coex_ATC,38,31,0.3142331635540465
18,coex_BRO,42,27,0.33684149988497847
19,coex_SKN,41,30,0.42176228100309165
20,coex_ADS,33,31,0.5369012707722383
21,coex_GEJ,44,20,1.3547827280571025
22,coex_BRB,26,20,0.3589464882943143
23,coex_UTR,31,9,0.8286290322580645
24,coex_STM,43,30,0.6415578209620898
25,coex_HRA,40,18,0.5924329501915708
26,coex_PRS,39,21,0.3249084249084251
27,coex_ATA,36,31,0.8105373669287972
28,coex_FIB,27,13,0.36502849002849036
29,coex_BRC,44,17,0.19969097922328416
30,coex_ATT,39,30,0.9671945701357467
31,coex_TNV,21,26,0.6077018633540372
32,coex_SPL,35,35,0.34285714285714275
33,coex_LCL,26,8,-0.17249999999999988
34,coex_CLS,39,20,0.3534831774396201
35,coex_EMC,39,32,0.4037416387959869
36,coex_CLT,42,27,1.1113984055160526
37,coex_core,43,31,0.4342572129518867
38,coex_WBL,35,31,0.19256912442396334
39,co-essential,13,0,
40,GOBP,23,29,1.9880434782608694
41,ppi,50,49,0.35368171511028645
42,reactome_copathway,16,21,1.4830645161290326
43,MP,17,22,1.309436274509804
44,HP,26,24,1.245128205128205
45,GI_net,21,8,-0.034380131362889976
46,gene_gene_on_CbG_name_mapped,8,16,0.5104166666666667
47,gene_gene_on_GcG_name_mapped,38,33,0.06370038412291934
48,GOMF,3,7,
