,Layer,Cervical_cancer nodes,Osteosarcoma nodes,sAB
0,coex_KDN,41,43,-0.2365759122707507
1,coex_BST,34,29,-0.19945104478573028
2,coex_OVR,38,31,-0.4579304150980539
3,coex_LNG,39,38,-0.29235510814458165
4,coex_ITI,35,40,-0.3366666666666669
5,coex_VGN,37,32,-0.08542645906776336
6,coex_HRV,24,27,0.2852668845315902
7,coex_MSG,41,40,-0.17369015356820228
8,coex_ADV,26,27,-0.2474332096973606
9,coex_EMS,35,30,-0.2184981684981684
10,coex_SMU,32,31,-0.1591861879160268
11,coex_ARG,31,32,-0.1723230286738353
12,coex_TST,38,39,-0.299305957200694
13,coex_PIT,39,39,-0.26564102564102554
14,coex_LVR,36,39,-0.4045299145299144
15,coex_THY,35,37,-0.34578696343402227
16,coex_PNC,32,34,-0.22663213012477756
17,coex_ATC,37,34,-0.3867726561388529
18,coex_BRO,32,38,-0.2294053564434
19,coex_SKN,41,39,-0.19867104440275152
20,coex_ADS,28,34,0.06929384657088633
21,coex_GEJ,34,36,-0.15936250121939333
22,coex_BRB,20,32,-0.40875000000000017
23,coex_UTR,27,27,-0.2407407407407407
24,coex_STM,39,42,-0.22276488943155615
25,coex_HRA,37,34,-0.16365982350637065
26,coex_PRS,38,38,-0.48684210526315796
27,coex_ATA,34,34,-0.23529411764705888
28,coex_FIB,39,42,-0.3087460484720759
29,coex_BRC,36,36,0.04166666666666674
30,coex_ATT,36,37,-0.28678678678678704
31,coex_TNV,22,26,-0.40020396270396263
32,coex_SPL,36,36,-0.4506874580818243
33,coex_LCL,33,32,-0.2874663978494625
34,coex_CLS,36,37,-0.39799045620963436
35,coex_EMC,31,33,-0.15669293743890522
36,coex_CLT,33,35,-0.07072829131652658
37,coex_core,38,42,-0.41701127819548867
38,coex_WBL,35,39,-0.37541827541827555
39,co-essential,16,16,-0.1857142857142855
40,GOBP,11,9,-0.625
41,ppi,50,50,-0.17999999999999994
42,reactome_copathway,27,22,-0.226808510638298
43,MP,7,13,0.6992481203007519
44,HP,20,19,-0.07800269905533064
45,GI_net,28,29,-0.27128302731751
46,gene_gene_on_CbG_name_mapped,15,15,-0.3666666666666667
47,gene_gene_on_GcG_name_mapped,31,29,-0.25077864293659613
48,GOMF,6,2,
