,Layer,Neoplasm_of_esophagus nodes,Macular_degeneration nodes,sAB
0,coex_KDN,43,38,0.17384085213032585
1,coex_BST,29,19,0.0866144941713538
2,coex_OVR,35,33,0.2996323529411766
3,coex_LNG,38,27,0.16346153846153832
4,coex_ITI,42,35,0.0209956709956709
5,coex_VGN,34,34,0.17112299465240643
6,coex_HRV,26,24,0.16702380952380924
7,coex_MSG,41,36,-0.04950638792102202
8,coex_ADV,24,22,0.2675230566534914
9,coex_EMS,32,25,-0.10421658986175109
10,coex_SMU,33,27,0.017845117845117775
11,coex_ARG,38,26,-0.1886268361678196
12,coex_TST,43,34,-0.06578339581075565
13,coex_PIT,41,31,-0.09693810647783896
14,coex_LVR,37,31,-0.07996563926355216
15,coex_THY,37,28,0.184416559416559
16,coex_PNC,38,29,0.07320256875610731
17,coex_ATC,41,29,0.018728222996515775
18,coex_BRO,38,32,0.15296052631578938
19,coex_SKN,37,35,0.1110638393157033
20,coex_ADS,32,27,0.11501160477453576
21,coex_GEJ,27,21,0.007777777777777661
22,coex_BRB,34,29,0.012411861296242499
23,coex_UTR,25,24,0.4725170068027209
24,coex_STM,38,33,-0.004846463148909574
25,coex_HRA,30,34,0.32609108159392797
26,coex_PRS,27,31,0.13022941970310375
27,coex_ATA,32,30,0.05624999999999991
28,coex_FIB,34,27,-0.02217345872518295
29,coex_BRC,36,31,0.21998207885304666
30,coex_ATT,36,30,0.1726874657909141
31,coex_TNV,25,28,0.2995238095238095
32,coex_SPL,34,33,-0.0031061271184185113
33,coex_LCL,18,14,0.09672619047619024
34,coex_CLS,39,33,0.3186162488990454
35,coex_EMC,38,30,0.07396127470754332
36,coex_CLT,39,35,0.011157311157311112
37,coex_core,40,37,0.04810810810810806
38,coex_WBL,38,30,0.19468524251806008
39,co-essential,12,4,0.5714285714285712
40,GOBP,15,27,0.7360805860805857
41,ppi,50,50,0.08999999999999986
42,reactome_copathway,33,10,0.109375
43,MP,11,18,1.762626262626263
44,HP,19,30,0.874722520587182
45,GI_net,31,10,0.3597954366640441
46,gene_gene_on_CbG_name_mapped,16,8,-0.04166666666666674
47,gene_gene_on_GcG_name_mapped,29,36,0.012702623047450734
48,GOMF,8,5,
