,Layer,Gout nodes,Myalgia nodes,sAB
0,coex_KDN,40,39,0.024746963562753077
1,coex_BST,30,20,0.3583333333333334
2,coex_OVR,24,29,0.23915636521361971
3,coex_LNG,35,37,0.41831831831831856
4,coex_ITI,39,33,0.057348094980137265
5,coex_VGN,40,33,0.10486716479867164
6,coex_HRV,20,30,0.2055555555555557
7,coex_MSG,43,37,0.12317724701445654
8,coex_ADV,31,31,0.46935483870967776
9,coex_EMS,34,27,0.22029033504443363
10,coex_SMU,31,27,0.30989164915750034
11,coex_ARG,31,29,0.17741935483870952
12,coex_TST,39,34,-0.006120994235418342
13,coex_PIT,36,31,0.04034932862568885
14,coex_LVR,34,30,0.17647058823529438
15,coex_THY,26,26,0.019230769230769162
16,coex_PNC,31,28,0.4237092868858858
17,coex_ATC,36,33,-0.014020805065581232
18,coex_BRO,37,26,0.34417709007872954
19,coex_SKN,35,30,0.18992673992674014
20,coex_ADS,28,27,0.6861577964519143
21,coex_GEJ,35,31,0.2554524622213674
22,coex_BRB,21,20,0.23553113553113558
23,coex_UTR,28,24,0.2885348583877998
24,coex_STM,36,32,0.05545343137254877
25,coex_HRA,35,28,0.03888888888888875
26,coex_PRS,32,31,0.01684907834101379
27,coex_ATA,31,27,0.26236971120174646
28,coex_FIB,30,22,0.24030303030303024
29,coex_BRC,30,23,0.34719715613891156
30,coex_ATT,28,31,0.2154768413653052
31,coex_TNV,22,19,0.7308612440191387
32,coex_SPL,34,35,0.5785105346486419
33,coex_LCL,22,17,0.1596638655462186
34,coex_CLS,35,31,0.0003689647902169746
35,coex_EMC,34,31,0.4306195596518174
36,coex_CLT,32,32,0.19593186167304544
37,coex_core,37,40,0.18293205177007987
38,coex_WBL,32,31,0.20446908602150504
39,co-essential,12,4,-0.04999999999999982
40,GOBP,23,27,0.6929181929181927
41,ppi,50,48,0.12470238095238084
42,reactome_copathway,13,20,0.9494736842105262
43,MP,15,8,0.8262987012987018
44,HP,15,41,0.2905342624854821
45,GI_net,19,17,0.2545579635362918
46,gene_gene_on_CbG_name_mapped,14,10,0.40357142857142847
47,gene_gene_on_GcG_name_mapped,32,35,-0.00027985074626846185
48,GOMF,4,8,
