,Layer,Methylmalonic_acidemia nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,48,34,0.2037302725968435
1,coex_BST,46,28,0.1770186335403725
2,coex_OVR,44,33,0.18181818181818188
3,coex_LNG,46,25,-0.004427434170238831
4,coex_ITI,47,32,0.35152673040667914
5,coex_VGN,46,28,0.0984136310223267
6,coex_HRV,31,13,0.5212099728228763
7,coex_MSG,47,29,0.1199945939684135
8,coex_ADV,40,27,0.02165242165242187
9,coex_EMS,47,21,0.07487037368138738
10,coex_SMU,46,24,0.23077122153209118
11,coex_ARG,45,32,0.22177419354838723
12,coex_TST,47,32,0.0564486264476165
13,coex_PIT,43,32,0.14156664166041488
14,coex_LVR,45,29,0.07425280199252815
15,coex_THY,43,26,0.950817341862118
16,coex_PNC,43,24,0.11325639245632324
17,coex_ATC,42,30,0.2511904761904762
18,coex_BRO,41,27,0.10279504755831859
19,coex_SKN,46,30,0.01918382913806238
20,coex_ADS,25,23,0.4782608695652173
21,coex_GEJ,45,32,0.31061717527386556
22,coex_BRB,16,19,1.005921052631579
23,coex_UTR,44,24,0.15875668449197877
24,coex_STM,43,27,0.16543620031992123
25,coex_HRA,45,33,0.33580879214682025
26,coex_PRS,44,20,0.045454545454545414
27,coex_ATA,35,31,0.5400921658986175
28,coex_FIB,46,22,0.07556382236689152
29,coex_BRC,46,29,0.046625818364948834
30,coex_ATT,44,28,0.09803783173348402
31,coex_TNV,13,22,0.7837646224743002
32,coex_SPL,40,24,0.04791666666666661
33,coex_LCL,43,18,0.0012813995848690585
34,coex_CLS,47,25,-0.05426530816102293
35,coex_EMC,46,26,0.06099033816425137
36,coex_CLT,45,27,0.06323582520765614
37,coex_core,43,36,0.40494647471391665
38,coex_WBL,42,28,0.1098081023454156
39,co-essential,18,9,0.2592592592592591
40,GOBP,29,17,1.1207147153167605
41,ppi,50,45,0.27005847953216366
42,reactome_copathway,17,17,1.4604166666666667
43,MP,8,12,1.5260025062656641
44,HP,27,37,0.6264702202202201
45,GI_net,22,17,-0.08407043407043391
46,gene_gene_on_CbG_name_mapped,18,6,0.8194444444444446
47,gene_gene_on_GcG_name_mapped,31,34,-0.019873011239235128
48,GOMF,3,6,
