,Layer,Constipation nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,33,42,0.1375051888750518
1,coex_BST,17,18,0.34285714285714297
2,coex_OVR,20,22,-0.01753246753246751
3,coex_LNG,29,32,0.6757508342602891
4,coex_ITI,33,38,0.07316306130242389
5,coex_VGN,30,25,0.6599999999999997
6,coex_HRV,13,17,0.318108974358974
7,coex_MSG,32,23,0.34600594749794933
8,coex_ADV,21,26,0.7929976999744439
9,coex_EMS,24,19,0.7387035903712769
10,coex_SMU,20,19,0.0204453441295549
11,coex_ARG,28,18,0.04330572808833688
12,coex_TST,28,24,0.1444597069597071
13,coex_PIT,25,26,0.2945852187028659
14,coex_LVR,19,30,0.18170426065162903
15,coex_THY,19,29,0.8404255319148937
16,coex_PNC,24,20,0.4393939393939399
17,coex_ATC,27,25,-0.02244897959183656
18,coex_BRO,29,23,0.5847364779148889
19,coex_SKN,26,23,0.5091787439613524
20,coex_ADS,20,24,1.2666666666666666
21,coex_GEJ,24,22,1.0664451827242525
22,coex_BRB,21,18,0.3697478991596639
23,coex_UTR,23,20,0.628919537386357
24,coex_STM,27,28,0.45487012987012987
25,coex_HRA,19,20,0.053342816500711265
26,coex_PRS,24,25,0.3846985815602837
27,coex_ATA,21,24,0.6515151515151514
28,coex_FIB,17,17,0.0
29,coex_BRC,25,24,0.2722163120567376
30,coex_ATT,24,26,0.4823717948717947
31,coex_TNV,10,20,0.9046296296296297
32,coex_SPL,22,36,0.2772553117380703
33,coex_LCL,17,18,0.1677865111561867
34,coex_CLS,32,35,0.08238324175824174
35,coex_EMC,20,25,0.6484146341463415
36,coex_CLT,33,30,0.21874999999999978
37,coex_core,30,35,0.8918894830659534
38,coex_WBL,22,32,-0.22343223905723897
39,co-essential,7,4,1.9333333333333327
40,GOBP,17,20,1.163320135746606
41,ppi,49,50,0.13053597196454314
42,reactome_copathway,14,21,0.5922456575682382
43,MP,19,19,1.4161184210526319
44,HP,29,19,1.2619857834240775
45,GI_net,20,20,0.5486842105263159
46,gene_gene_on_CbG_name_mapped,21,15,0.04761904761904767
47,gene_gene_on_GcG_name_mapped,33,33,0.09090909090909083
48,GOMF,6,4,
