,Layer,Esophagitis nodes,Gastroesophageal_reflux_disease nodes,sAB
0,coex_KDN,41,39,-0.125
1,coex_BST,27,31,-0.20760233918128645
2,coex_OVR,28,29,0.1585213032581454
3,coex_LNG,40,34,-0.08800850975508467
4,coex_ITI,40,37,-0.13990873990873998
5,coex_VGN,31,37,-0.19286886507000367
6,coex_HRV,31,19,-0.5875223773720015
7,coex_MSG,41,33,-0.17369808833223477
8,coex_ADV,27,27,0.14529914529914545
9,coex_EMS,29,29,0.31034482758620685
10,coex_SMU,29,23,-0.4573578595317722
11,coex_ARG,30,29,-0.3275862068965518
12,coex_TST,36,36,-0.04166666666666674
13,coex_PIT,39,34,-0.3728500171998623
14,coex_LVR,36,29,-0.2769746536987918
15,coex_THY,29,26,-0.1722811671087534
16,coex_PNC,31,26,-0.13260197640503213
17,coex_ATC,29,29,-0.17795566502463056
18,coex_BRO,39,39,-0.25
19,coex_SKN,32,28,-0.001339285714285765
20,coex_ADS,27,29,-0.1065674427743395
21,coex_GEJ,32,31,0.1724137931034484
22,coex_BRB,33,26,-0.2573485836197702
23,coex_UTR,22,18,0.185672514619883
24,coex_STM,37,33,-0.019410319410319454
25,coex_HRA,32,27,-0.2418491054613936
26,coex_PRS,33,31,-0.10117302052785959
27,coex_ATA,26,25,0.14478533888471778
28,coex_FIB,33,22,-0.30000000000000004
29,coex_BRC,37,33,-0.26931086931086945
30,coex_ATT,30,25,0.1324393358876117
31,coex_TNV,27,20,-0.37149330181245066
32,coex_SPL,24,21,-0.04702380952380958
33,coex_LCL,21,14,-0.24523809523809526
34,coex_CLS,32,35,-0.09914215686274508
35,coex_EMC,33,26,-0.11176906779661011
36,coex_CLT,35,33,0.018003565062388427
37,coex_core,42,41,0.014201914171040553
38,coex_WBL,31,29,0.21129715278184324
39,co-essential,10,8,-0.7569444444444446
40,GOBP,19,20,0.18954248366013093
41,ppi,48,49,-0.17426274633564787
42,reactome_copathway,19,19,0.8627450980392157
43,MP,16,9,-0.33611111111111125
44,HP,23,28,0.28566861527219567
45,GI_net,24,21,-0.21704545454545476
46,gene_gene_on_CbG_name_mapped,9,15,0.3555555555555556
47,gene_gene_on_GcG_name_mapped,33,27,-0.3200336700336701
48,GOMF,12,4,
