,Layer,Pyelonephritis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,42,42,0.19047619047619047
1,coex_BST,26,27,0.41645211930926207
2,coex_OVR,32,29,-0.06603523895946761
3,coex_LNG,34,41,0.1408410138248848
4,coex_ITI,35,39,0.2208197208197209
5,coex_VGN,32,31,0.11520737327188946
6,coex_HRV,26,26,0.5161538461538462
7,coex_MSG,35,39,0.14852984852984852
8,coex_ADV,31,30,0.23245614035087714
9,coex_EMS,22,28,0.2695578231292517
10,coex_SMU,26,26,0.11538461538461542
11,coex_ARG,21,32,0.06897759103641432
12,coex_TST,27,31,0.004366992131174641
13,coex_PIT,35,29,0.13397475369458123
14,coex_LVR,36,33,-0.07404003267973858
15,coex_THY,25,33,0.29445773524720886
16,coex_PNC,29,28,0.09006941334527507
17,coex_ATC,30,37,0.04410949410949394
18,coex_BRO,30,31,-0.016367001586462093
19,coex_SKN,26,29,0.06629870129870108
20,coex_ADS,24,31,0.03369990224828934
21,coex_GEJ,29,31,0.5688834154351392
22,coex_BRB,21,26,0.061783960720130704
23,coex_UTR,20,24,0.1287115588547194
24,coex_STM,30,31,0.11530054644808718
25,coex_HRA,25,26,0.07577677224736057
26,coex_PRS,29,24,0.07775524002704515
27,coex_ATA,31,30,0.2666666666666666
28,coex_FIB,20,18,0.35614035087719254
29,coex_BRC,21,24,0.25793650793650813
30,coex_ATT,30,27,0.41189083820662753
31,coex_TNV,24,23,0.1521739130434785
32,coex_SPL,27,36,0.019782189137027784
33,coex_LCL,14,22,0.16639610389610393
34,coex_CLS,33,37,0.1494748824911869
35,coex_EMC,30,33,0.23995295698924712
36,coex_CLT,32,38,0.30324248120300745
37,coex_core,40,42,0.06593406593406614
38,coex_WBL,29,39,0.001547987616099089
39,co-essential,4,5,-0.5444444444444443
40,GOBP,14,25,1.0089743589743585
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,14,18,0.5519005847953218
43,MP,16,12,0.9141304347826082
44,HP,13,36,0.42361111111111094
45,GI_net,23,18,0.2946859903381642
46,gene_gene_on_CbG_name_mapped,12,14,0.07646520146520142
47,gene_gene_on_GcG_name_mapped,32,28,-0.12455357142857149
48,GOMF,4,8,
