,Layer,Primary_dilated_cardiomyopathy nodes,Urticaria nodes,sAB
0,coex_KDN,31,39,0.30066170388751035
1,coex_BST,21,16,0.5736842105263156
2,coex_OVR,24,25,0.18069727891156484
3,coex_LNG,25,31,0.6420549581839903
4,coex_ITI,27,33,0.4072390572390572
5,coex_VGN,28,27,0.357535321821036
6,coex_HRV,40,20,2.419396551724138
7,coex_MSG,44,33,0.4724025974025974
8,coex_ADV,20,28,0.4376984126984125
9,coex_EMS,34,21,0.7007173601147776
10,coex_SMU,36,21,0.8780284043441939
11,coex_ARG,21,21,0.8352564102564104
12,coex_TST,30,21,-0.10462184873949565
13,coex_PIT,26,30,-0.033241758241758124
14,coex_LVR,18,32,0.27430555555555536
15,coex_THY,31,24,0.8476462761175245
16,coex_PNC,16,23,0.07482837528604103
17,coex_ATC,38,26,1.5439018218623484
18,coex_BRO,27,26,0.3904843304843304
19,coex_SKN,24,31,0.1839743589743592
20,coex_ADS,21,28,1.05596926713948
21,coex_GEJ,24,30,1.072448979591837
22,coex_BRB,21,19,0.3706766917293236
23,coex_UTR,22,14,0.08297258297258292
24,coex_STM,29,27,0.36998266739646035
25,coex_HRA,43,21,0.692146720890749
26,coex_PRS,43,24,0.5799635543214166
27,coex_ATA,19,25,0.16688995215310998
28,coex_FIB,17,16,-0.001949643493761144
29,coex_BRC,30,19,-0.07205513784461148
30,coex_ATT,29,29,0.4813793103448276
31,coex_TNV,26,18,0.5841269841269838
32,coex_SPL,23,35,0.41313758705063064
33,coex_LCL,24,14,0.28511904761904727
34,coex_CLS,28,27,0.3165954415954415
35,coex_EMC,19,26,0.8207020835390542
36,coex_CLT,24,26,0.1466666666666665
37,coex_core,41,35,1.3548962353749467
38,coex_WBL,34,37,1.370429252782194
39,co-essential,11,5,1.0147727272727272
40,GOBP,23,25,1.5909090909090913
41,ppi,49,48,0.2768273546532014
42,reactome_copathway,17,22,1.0239495798319327
43,MP,25,17,2.117058823529412
44,HP,38,25,0.8011946532999166
45,GI_net,17,15,0.32703081232493014
46,gene_gene_on_CbG_name_mapped,11,13,0.08100233100233112
47,gene_gene_on_GcG_name_mapped,27,31,-0.042722366415358426
48,GOMF,2,8,
