,Layer,Nephrotic_syndrome nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,43,41,0.022006590497798628
1,coex_BST,19,17,-0.2069143446852426
2,coex_OVR,23,29,0.1010077944221166
3,coex_LNG,28,32,0.5108430799220276
4,coex_ITI,35,34,0.014571915722810802
5,coex_VGN,29,30,-0.023981191222570475
6,coex_HRV,22,17,0.03887289181406839
7,coex_MSG,31,36,0.030486010806184183
8,coex_ADV,25,20,0.33000000000000007
9,coex_EMS,20,22,-0.4846689895470382
10,coex_SMU,22,23,0.04446640316205519
11,coex_ARG,19,23,0.2860411899313502
12,coex_TST,31,33,-0.07873594819159324
13,coex_PIT,31,28,-0.06334452862610318
14,coex_LVR,39,31,-0.08982873546440917
15,coex_THY,26,23,-0.20713768115942033
16,coex_PNC,29,27,-0.049808429118774145
17,coex_ATC,24,31,0.1266006842619749
18,coex_BRO,27,26,-0.21153846153846168
19,coex_SKN,31,27,-0.1415770609318996
20,coex_ADS,21,23,0.2037925842273669
21,coex_GEJ,23,22,0.04911790224621626
22,coex_BRB,25,29,0.09468710089399734
23,coex_UTR,18,19,0.16494668042655647
24,coex_STM,33,28,0.07606805762543467
25,coex_HRA,25,23,0.23122529644268797
26,coex_PRS,27,25,-0.3695726495726499
27,coex_ATA,27,32,-0.15745890495612436
28,coex_FIB,19,16,0.27645676691729326
29,coex_BRC,29,22,-0.02890090205361151
30,coex_ATT,27,25,0.02400981996726692
31,coex_TNV,20,22,0.3067476383265859
32,coex_SPL,35,24,0.24044592413236465
33,coex_LCL,10,18,0.13888888888888884
34,coex_CLS,34,26,0.2117725074114527
35,coex_EMC,24,24,-0.04166666666666674
36,coex_CLT,31,30,-0.09961219813150013
37,coex_core,35,31,-0.006398348813209553
38,coex_WBL,32,22,0.044511554621848415
39,co-essential,4,6,1.041666666666667
40,GOBP,22,12,-0.5603174603174601
41,ppi,50,49,0.019529993815707858
42,reactome_copathway,26,16,0.35879120879120885
43,MP,17,11,0.17156862745098023
44,HP,25,31,0.2811947431302271
45,GI_net,15,19,0.007129893699766576
46,gene_gene_on_CbG_name_mapped,14,11,0.02558441558441582
47,gene_gene_on_GcG_name_mapped,30,26,-0.2356227106227109
48,GOMF,8,3,
