,Layer,Extrapyramidal_disease nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,37,48,0.05273913619501869
1,coex_BST,30,40,0.21389603705609872
2,coex_OVR,29,45,-0.016954772776690552
3,coex_LNG,29,43,0.15628619798627819
4,coex_ITI,38,47,0.06477834134773741
5,coex_VGN,36,46,0.12092023094143967
6,coex_HRV,17,16,0.2350155971479504
7,coex_MSG,37,44,-0.07853687020353695
8,coex_ADV,31,44,0.2607739385439245
9,coex_EMS,23,41,0.03823313782991211
10,coex_SMU,21,38,0.09679920139331388
11,coex_ARG,30,39,0.16383467278989672
12,coex_TST,32,46,-0.08359462095875148
13,coex_PIT,33,40,0.15090286425902844
14,coex_LVR,29,38,0.2528171303193649
15,coex_THY,22,39,0.3166706175180751
16,coex_PNC,32,39,0.01828203046184873
17,coex_ATC,30,43,0.18074025548640682
18,coex_BRO,38,41,0.4063794868461672
19,coex_SKN,33,44,0.12012987012987031
20,coex_ADS,30,26,0.6263522012578622
21,coex_GEJ,26,42,0.06702152014652007
22,coex_BRB,28,22,0.4494047619047623
23,coex_UTR,24,40,0.2333333333333334
24,coex_STM,33,41,0.07101678808995882
25,coex_HRA,27,39,0.3319978632478633
26,coex_PRS,29,44,0.03162654085432148
27,coex_ATA,30,32,0.4063676990027907
28,coex_FIB,21,38,0.02378733413216172
29,coex_BRC,28,38,0.0466222374117109
30,coex_ATT,28,41,0.52307042550945
31,coex_TNV,21,15,1.092857142857143
32,coex_SPL,28,43,0.19688479715502316
33,coex_LCL,18,37,0.2327789327789329
34,coex_CLS,31,41,0.19299906498363728
35,coex_EMC,32,43,0.139951550387597
36,coex_CLT,33,43,0.0647694818441451
37,coex_core,38,45,0.2132948404767192
38,coex_WBL,27,33,0.1173400673400673
39,co-essential,10,16,2.358552631578948
40,GOBP,16,15,0.8333333333333339
41,ppi,49,50,0.05931560502989064
42,reactome_copathway,15,15,0.44999999999999996
43,MP,19,9,2.0979532163742687
44,HP,22,29,0.6285573790644783
45,GI_net,16,26,-0.09500915750915762
46,gene_gene_on_CbG_name_mapped,14,2,0.1785714285714286
47,gene_gene_on_GcG_name_mapped,38,38,0.10526315789473673
48,GOMF,5,6,
