,Layer,Eczematoid_dermatitis nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,45,33,-0.08140331890331898
1,coex_BST,18,23,0.18593142453163658
2,coex_OVR,32,35,0.2550306503198294
3,coex_LNG,42,30,0.5785279629093014
4,coex_ITI,36,24,0.5639367816091956
5,coex_VGN,38,41,0.3443959907374543
6,coex_HRV,26,22,0.6541375291375293
7,coex_MSG,39,44,0.22852950262588823
8,coex_ADV,28,17,0.6615079365079368
9,coex_EMS,33,30,0.7737953303527074
10,coex_SMU,33,29,0.39106411007025743
11,coex_ARG,32,28,0.4605459057071961
12,coex_TST,36,34,0.16748366013071903
13,coex_PIT,34,29,0.19141311697092656
14,coex_LVR,32,22,0.09348695286195285
15,coex_THY,35,26,0.8504761904761908
16,coex_PNC,30,22,0.07447552447552441
17,coex_ATC,35,18,0.1655354449472095
18,coex_BRO,31,27,0.22331797235023032
19,coex_SKN,37,42,0.28528257009269664
20,coex_ADS,35,38,0.541950767329282
21,coex_GEJ,37,35,0.8812331812331811
22,coex_BRB,27,20,0.6905555555555554
23,coex_UTR,20,20,0.20000000000000018
24,coex_STM,32,28,0.2810864641099744
25,coex_HRA,23,22,0.4597159665410424
26,coex_PRS,31,26,0.3350202429149798
27,coex_ATA,34,24,0.602651515151515
28,coex_FIB,14,20,0.40808918848846254
29,coex_BRC,21,30,0.6509359605911329
30,coex_ATT,36,25,0.14271336553945257
31,coex_TNV,27,30,0.4375757575757575
32,coex_SPL,38,23,0.18454814870390512
33,coex_LCL,21,20,0.4750000000000001
34,coex_CLS,29,23,0.2983638282899368
35,coex_EMC,41,32,0.5344217151848938
36,coex_CLT,34,23,0.3792163296819959
37,coex_core,44,44,0.625
38,coex_WBL,39,26,0.35256410256410264
39,co-essential,4,8,0.04166666666666696
40,GOBP,13,23,0.7484206614641393
41,ppi,50,49,0.05943104514533082
42,reactome_copathway,23,10,0.5253968253968253
43,MP,13,18,0.1472222222222226
44,HP,26,23,0.54922872158897
45,GI_net,22,14,0.16089466089466087
46,gene_gene_on_CbG_name_mapped,10,5,0.41666666666666696
47,gene_gene_on_GcG_name_mapped,26,35,0.071329490181949
48,GOMF,9,6,
