,Layer,Breast_neoplasm nodes,Ascites nodes,sAB
0,coex_KDN,43,43,0.12790697674418583
1,coex_BST,37,33,0.09058916871416867
2,coex_OVR,33,28,0.32089631679795616
3,coex_LNG,41,29,0.2459520239880062
4,coex_ITI,43,35,-0.023340202888766592
5,coex_VGN,39,30,0.1668511836422284
6,coex_HRV,17,23,0.5148411371237458
7,coex_MSG,43,38,0.1167890656874746
8,coex_ADV,25,28,0.4118367346938774
9,coex_EMS,35,35,0.3494505494505493
10,coex_SMU,34,25,0.039385964912280746
11,coex_ARG,30,28,0.13809523809523827
12,coex_TST,42,35,0.045021645021645185
13,coex_PIT,32,33,0.046875
14,coex_LVR,35,31,0.38530931434157245
15,coex_THY,33,32,0.5821114369501466
16,coex_PNC,31,36,0.2831541218637992
17,coex_ATC,38,37,0.337755022506284
18,coex_BRO,32,34,-0.03584558823529416
19,coex_SKN,38,33,0.20584564177241504
20,coex_ADS,30,29,0.9310344827586206
21,coex_GEJ,35,28,0.35602466793168874
22,coex_BRB,23,25,0.1873407482305356
23,coex_UTR,35,22,0.34642857142857153
24,coex_STM,44,34,0.038770053475936095
25,coex_HRA,32,29,0.14070449406444308
26,coex_PRS,34,29,0.011314135603365472
27,coex_ATA,32,32,0.39273510114816856
28,coex_FIB,36,22,0.0535714285714286
29,coex_BRC,33,29,0.08534735564768914
30,coex_ATT,34,32,0.3979166666666667
31,coex_TNV,21,24,1.1228070175438591
32,coex_SPL,39,34,0.29591273128969897
33,coex_LCL,31,25,0.24432497013142185
34,coex_CLS,38,25,0.2548203842940686
35,coex_EMC,38,35,0.2264640474425499
36,coex_CLT,45,34,0.13712418300653595
37,coex_core,44,41,0.49515322076297674
38,coex_WBL,32,31,0.24463246959280793
39,co-essential,21,8,0.6124999999999998
40,GOBP,8,19,0.3897058823529411
41,ppi,50,48,0.24909863945578237
42,reactome_copathway,33,15,0.5070472163495419
43,MP,12,14,-0.2634032634032635
44,HP,25,26,0.6696078431372547
45,GI_net,35,17,0.16416566626650653
46,gene_gene_on_CbG_name_mapped,17,6,0.2551150895140666
47,gene_gene_on_GcG_name_mapped,40,33,-0.06525529265255292
48,GOMF,2,11,
