,Layer,Laryngeal_edema nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,48,42,0.26974206349206375
1,coex_BST,32,22,0.2767379679144386
2,coex_OVR,37,23,0.2219028034245425
3,coex_LNG,42,29,0.22169800411665408
4,coex_ITI,43,33,0.14995734579577902
5,coex_VGN,45,23,0.5008918617614269
6,coex_HRV,30,20,0.825
7,coex_MSG,48,28,0.24044486215538852
8,coex_ADV,31,33,0.5592592592592593
9,coex_EMS,39,25,0.13937343358395982
10,coex_SMU,40,23,0.28097826086956523
11,coex_ARG,34,25,0.4961122379986478
12,coex_TST,46,27,-0.07331855381289554
13,coex_PIT,44,30,0.11281736281736277
14,coex_LVR,40,31,0.16157428441617427
15,coex_THY,38,25,0.4991511035653651
16,coex_PNC,41,23,0.29728923647932115
17,coex_ATC,39,25,0.31225961538461533
18,coex_BRO,42,30,0.17420634920634903
19,coex_SKN,47,27,0.2329879440307967
20,coex_ADS,34,23,0.28563736707497656
21,coex_GEJ,38,27,0.48512581547064304
22,coex_BRB,31,24,0.19930270713699771
23,coex_UTR,25,18,0.6009684361549494
24,coex_STM,44,27,0.3174764072651395
25,coex_HRA,41,30,0.6248244838525143
26,coex_PRS,34,19,0.3382352941176472
27,coex_ATA,39,22,0.056641445985708305
28,coex_FIB,36,20,0.0773809523809521
29,coex_BRC,42,29,0.011904761904761862
30,coex_ATT,39,24,0.27729613282892007
31,coex_TNV,26,21,0.50985893539085
32,coex_SPL,45,34,0.109820468271697
33,coex_LCL,19,15,0.28075980392156863
34,coex_CLS,44,28,0.44910791189860966
35,coex_EMC,41,22,0.09866962305986693
36,coex_CLT,46,27,0.3236273796130853
37,coex_core,46,36,0.5166572557876907
38,coex_WBL,34,31,0.09062180703546918
39,co-essential,8,7,-0.12545787545787546
40,GOBP,18,18,0.5589743589743592
41,ppi,50,49,0.20410636982065555
42,reactome_copathway,11,23,0.3474967061923584
43,MP,14,15,0.03296703296703285
44,HP,21,27,0.32605820105820116
45,GI_net,13,23,0.13791068266771633
46,gene_gene_on_CbG_name_mapped,7,31,0.2216832403589617
47,gene_gene_on_GcG_name_mapped,31,31,-0.032258064516129004
48,GOMF,3,9,
