,Layer,Infection_of_bone nodes,West_syndrome nodes,sAB
0,coex_KDN,30,46,0.25133485888634644
1,coex_BST,19,37,1.295520999468368
2,coex_OVR,18,38,0.6602965747702587
3,coex_LNG,20,38,0.8640350877192984
4,coex_ITI,20,40,0.5971491228070178
5,coex_VGN,16,40,0.8743872549019609
6,coex_HRV,17,23,1.3076580282462635
7,coex_MSG,24,42,0.4748376623376622
8,coex_ADV,34,35,1.5176470588235291
9,coex_EMS,27,40,1.5604156192391487
10,coex_SMU,12,39,0.7720279720279719
11,coex_ARG,11,40,0.9067290552584668
12,coex_TST,14,44,0.5779220779220777
13,coex_PIT,19,43,0.6568951448388414
14,coex_LVR,27,38,0.6996476233318338
15,coex_THY,9,37,1.684046546546547
16,coex_PNC,30,37,1.368267954474851
17,coex_ATC,16,39,1.1437937062937062
18,coex_BRO,13,42,1.1040580918629703
19,coex_SKN,15,41,0.984696317551411
20,coex_ADS,24,21,2.2742424242424244
21,coex_GEJ,20,36,1.2852604997341839
22,coex_BRB,11,20,0.9166666666666665
23,coex_UTR,6,34,0.9600158982511924
24,coex_STM,22,39,0.8436018004983521
25,coex_HRA,18,38,1.452565789473684
26,coex_PRS,12,36,1.2888888888888888
27,coex_ATA,28,38,1.4239766081871346
28,coex_FIB,6,35,0.5818234610917539
29,coex_BRC,8,42,0.7278911564625852
30,coex_ATT,26,38,2.250144478844169
31,coex_TNV,31,16,1.8494527649769585
32,coex_SPL,25,43,0.6991966173361521
33,coex_LCL,7,27,0.08667911609088108
34,coex_CLS,17,38,0.8915217909025959
35,coex_EMC,15,35,0.7119047619047616
36,coex_CLT,16,38,0.8732714138286892
37,coex_core,41,39,1.208974358974359
38,coex_WBL,24,36,1.1430555555555553
39,co-essential,7,11,-0.11976911976911975
40,GOBP,23,22,1.4799465240641716
41,ppi,47,49,0.2935754088869589
42,reactome_copathway,16,18,1.1854166666666668
43,MP,13,5,3.4863636363636363
44,HP,12,34,0.8396206308610403
45,GI_net,15,20,0.11969696969696964
46,gene_gene_on_CbG_name_mapped,14,12,0.07097069597069594
47,gene_gene_on_GcG_name_mapped,29,33,0.1597397782047394
48,GOMF,6,4,
