,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Status_epilepticus nodes,sAB
0,coex_KDN,34,39,-0.022359821121430867
1,coex_BST,25,29,0.0649867374005304
2,coex_OVR,18,23,0.11010101010101048
3,coex_LNG,27,32,0.3602479598242305
4,coex_ITI,33,32,0.18395979020979003
5,coex_VGN,34,27,0.3367269984917045
6,coex_HRV,16,26,0.31581959706959717
7,coex_MSG,25,36,0.4030327868852457
8,coex_ADV,23,22,0.3325208607817305
9,coex_EMS,28,23,0.9273752012882446
10,coex_SMU,24,25,0.06615646258503416
11,coex_ARG,30,25,0.22499999999999987
12,coex_TST,32,33,0.0017482517482516613
13,coex_PIT,35,38,0.25340405809043154
14,coex_LVR,22,35,0.11948051948051952
15,coex_THY,23,32,0.9739583333333335
16,coex_PNC,30,25,-0.006855345911949584
17,coex_ATC,29,27,0.6622650976099254
18,coex_BRO,45,37,0.14552431219097905
19,coex_SKN,25,26,0.4276609105180533
20,coex_ADS,21,28,0.831560283687943
21,coex_GEJ,29,24,0.5728840125391845
22,coex_BRB,35,31,0.21819578271191187
23,coex_UTR,17,21,-0.009817170111287687
24,coex_STM,29,34,0.18250748575292164
25,coex_HRA,23,30,0.5483182936833471
26,coex_PRS,23,20,-0.2502996621989757
27,coex_ATA,25,28,0.40224358974358987
28,coex_FIB,16,20,0.06666666666666643
29,coex_BRC,37,37,0.16178678678678682
30,coex_ATT,26,26,0.2590266875981162
31,coex_TNV,21,28,0.6000000000000001
32,coex_SPL,24,24,0.020833333333333037
33,coex_LCL,11,17,0.16348357524828128
34,coex_CLS,31,28,0.3856912442396314
35,coex_EMC,22,25,0.1794301712779971
36,coex_CLT,30,28,0.13715106732348126
37,coex_core,32,38,0.7592879256965945
38,coex_WBL,18,34,0.3178733031674206
39,co-essential,6,9,-0.8601190476190474
40,GOBP,29,14,-0.06932773109243673
41,ppi,50,50,0.09999999999999987
42,reactome_copathway,13,19,0.9276315789473684
43,MP,12,12,0.2833333333333332
44,HP,20,18,-0.19692982456140373
45,GI_net,17,20,0.042226890756302815
46,gene_gene_on_CbG_name_mapped,17,21,0.02646321686569353
47,gene_gene_on_GcG_name_mapped,38,32,-0.044548872180451005
48,GOMF,6,4,
