,Layer,Abetalipoproteinaemia nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,40,42,0.2095528455284552
1,coex_BST,31,28,0.5322992625551022
2,coex_OVR,36,31,0.18249478414379716
3,coex_LNG,37,34,0.7963495963495961
4,coex_ITI,40,39,0.3514443362544628
5,coex_VGN,33,33,0.1837121212121211
6,coex_HRV,24,29,0.6418610547667343
7,coex_MSG,40,41,0.18571213489912664
8,coex_ADV,28,27,0.4740620490620493
9,coex_EMS,30,23,0.5243779053869293
10,coex_SMU,30,27,0.3979853479853479
11,coex_ARG,28,20,0.530451127819549
12,coex_TST,36,32,0.5001578282828283
13,coex_PIT,32,35,0.34242404051172715
14,coex_LVR,35,37,0.23050193050193069
15,coex_THY,31,22,0.7177572964669734
16,coex_PNC,29,30,0.6078219364893829
17,coex_ATC,36,30,0.3141414141414143
18,coex_BRO,36,31,0.17960600224683
19,coex_SKN,35,30,0.4499384236453201
20,coex_ADS,33,23,1.2868906455862978
21,coex_GEJ,32,31,0.9331041776837652
22,coex_BRB,27,28,0.3246392496392496
23,coex_UTR,21,12,0.36904761904761907
24,coex_STM,37,35,0.39185971685971666
25,coex_HRA,32,31,0.7803571428571427
26,coex_PRS,33,31,0.17546897546897533
27,coex_ATA,30,30,0.5615079365079367
28,coex_FIB,26,21,0.40976800976800964
29,coex_BRC,34,26,0.43137254901960764
30,coex_ATT,32,26,0.2568999287749283
31,coex_TNV,21,28,0.761309523809524
32,coex_SPL,36,24,0.21527777777777768
33,coex_LCL,24,13,-0.07598039215686292
34,coex_CLS,32,33,0.7056451612903225
35,coex_EMC,30,26,0.2708791208791208
36,coex_CLT,34,35,0.373652817770465
37,coex_core,39,37,0.46710526315789447
38,coex_WBL,34,27,0.6090128218864961
39,co-essential,6,9,0.42222222222222205
40,GOBP,24,9,0.5166666666666666
41,ppi,50,49,0.24257060399917552
42,reactome_copathway,12,26,0.9409211478176995
43,MP,14,15,2.0108225108225106
44,HP,27,11,0.23258904837852223
45,GI_net,13,20,0.007464574898785159
46,gene_gene_on_CbG_name_mapped,11,16,0.18939393939393945
47,gene_gene_on_GcG_name_mapped,30,29,0.03307032924215858
48,GOMF,7,6,
