,Layer,Diarrhea nodes,Otitis_media nodes,sAB
0,coex_KDN,36,35,0.0002403308741338872
1,coex_BST,19,25,0.06985451433461742
2,coex_OVR,24,26,-0.08544871794871778
3,coex_LNG,30,38,0.1966370506812578
4,coex_ITI,37,32,-0.0529646494320406
5,coex_VGN,22,28,-0.02928571428571436
6,coex_HRV,21,19,-0.10856950067476401
7,coex_MSG,35,41,-0.10198973042362014
8,coex_ADV,26,30,0.006510730648661589
9,coex_EMS,23,26,-0.22528985507246402
10,coex_SMU,19,22,0.03775236316956487
11,coex_ARG,18,19,-0.1470588235294117
12,coex_TST,28,33,-0.17444645518416002
13,coex_PIT,31,34,-0.019924098671726398
14,coex_LVR,28,27,-0.03997113997113977
15,coex_THY,20,23,0.035920121334681365
16,coex_PNC,28,23,0.19585040306594426
17,coex_ATC,24,30,-0.16655011655011642
18,coex_BRO,26,33,-0.08250521408416134
19,coex_SKN,22,29,-0.13255270760341764
20,coex_ADS,20,23,0.005720823798626817
21,coex_GEJ,28,35,0.13809523809523805
22,coex_BRB,22,29,0.28232358774230715
23,coex_UTR,15,17,0.7959850606909433
24,coex_STM,31,32,-0.1599222350230416
25,coex_HRA,22,22,0.29865096144165926
26,coex_PRS,24,30,-0.12851662404092057
27,coex_ATA,20,24,-0.11547619047619051
28,coex_FIB,19,22,-0.19408816158042153
29,coex_BRC,23,24,-0.1032994141227257
30,coex_ATT,20,27,0.08527131782945752
31,coex_TNV,15,16,-0.06471774193548407
32,coex_SPL,24,24,0.04166666666666696
33,coex_LCL,14,13,0.07500000000000018
34,coex_CLS,25,31,-0.05498207885304662
35,coex_EMC,27,32,-0.3006905210295039
36,coex_CLT,30,30,-0.2007695304889927
37,coex_core,32,36,0.08937230806301
38,coex_WBL,26,26,0.2199345335515548
39,co-essential,7,10,-1.0
40,GOBP,21,16,0.3051378446115285
41,ppi,49,49,-0.2653061224489799
42,reactome_copathway,18,20,0.29253689780005576
43,MP,19,17,-0.13440709617180246
44,HP,23,22,0.25815791892637185
45,GI_net,13,21,-0.4923507864684338
46,gene_gene_on_CbG_name_mapped,7,8,-0.2839285714285713
47,gene_gene_on_GcG_name_mapped,26,29,-0.07283578490475029
48,GOMF,8,8,
