,Layer,Temporal_lobe_epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,39,39,0.2820512820512824
1,coex_BST,24,29,0.15026566905226613
2,coex_OVR,28,30,0.18526272577996705
3,coex_LNG,26,25,0.5129411764705885
4,coex_ITI,35,42,0.15142857142857125
5,coex_VGN,27,37,0.2300738238238238
6,coex_HRV,23,28,0.23080319084155398
7,coex_MSG,34,40,0.13120031796502385
8,coex_ADV,19,29,0.537469751966122
9,coex_EMS,24,31,0.4296296296296296
10,coex_SMU,22,21,0.2860666465317627
11,coex_ARG,27,28,0.6579670329670333
12,coex_TST,33,34,0.10435123846010574
13,coex_PIT,32,35,0.1444128787878789
14,coex_LVR,28,30,0.31974548440065664
15,coex_THY,26,32,0.4175646551724137
16,coex_PNC,30,26,0.44386446886446906
17,coex_ATC,32,33,0.18520021645021645
18,coex_BRO,39,35,0.44055044055044057
19,coex_SKN,28,34,0.2765406162464985
20,coex_ADS,29,28,0.15010420613868902
21,coex_GEJ,26,32,0.6892555831265508
22,coex_BRB,29,29,0.5517241379310347
23,coex_UTR,19,16,0.26021241830065334
24,coex_STM,34,38,0.08131234950120403
25,coex_HRA,24,27,0.5356753812636166
26,coex_PRS,23,34,0.28938394579799853
27,coex_ATA,31,32,0.6792434715821809
28,coex_FIB,17,17,0.2103386809269161
29,coex_BRC,31,29,0.26184649610678545
30,coex_ATT,30,33,0.34375
31,coex_TNV,27,24,0.34912854030501084
32,coex_SPL,26,26,0.07692307692307665
33,coex_LCL,15,15,0.7714285714285714
34,coex_CLS,29,39,0.2735632183908048
35,coex_EMC,27,34,0.19393939393939386
36,coex_CLT,31,38,0.1079759356315051
37,coex_core,37,38,0.47889183343401065
38,coex_WBL,24,18,0.2749999999999999
39,co-essential,6,3,-0.5555555555555554
40,GOBP,18,26,0.9083871353419415
41,ppi,50,45,0.10678362573099442
42,reactome_copathway,18,6,0.5147058823529411
43,MP,12,17,0.7949275362318842
44,HP,12,18,0.14444444444444482
45,GI_net,16,11,-0.05693181818181836
46,gene_gene_on_CbG_name_mapped,26,9,0.0219780219780219
47,gene_gene_on_GcG_name_mapped,29,32,-0.05471841435839475
48,GOMF,5,8,
