,Layer,Erythroderma nodes,Bronchiectasis nodes,sAB
0,coex_KDN,25,38,0.08577327327327322
1,coex_BST,19,26,0.1766756635177691
2,coex_OVR,31,23,0.40128921595750566
3,coex_LNG,27,42,0.677167277167277
4,coex_ITI,24,31,0.04825268817204309
5,coex_VGN,41,29,0.18799711642436634
6,coex_HRV,9,24,0.09133454106280192
7,coex_MSG,38,39,0.6376299139457033
8,coex_ADV,13,20,0.30658508158508146
9,coex_EMS,24,28,0.21987179487179453
10,coex_SMU,20,27,0.3581196581196582
11,coex_ARG,15,22,0.21657754010695163
12,coex_TST,23,38,0.26379785129736644
13,coex_PIT,17,36,0.1939237233354878
14,coex_LVR,18,29,0.09713595583160828
15,coex_THY,21,31,0.613136288998358
16,coex_PNC,13,31,0.10983899821109144
17,coex_ATC,20,28,0.2523809523809524
18,coex_BRO,15,37,0.1901733666439549
19,coex_SKN,40,26,0.29326923076923084
20,coex_ADS,35,26,0.7393622770671953
21,coex_GEJ,27,28,0.4569384319384322
22,coex_BRB,9,32,0.8524305555555558
23,coex_UTR,11,20,0.21392961876832883
24,coex_STM,21,35,0.13690476190476186
25,coex_HRA,16,27,-0.07596153846153841
26,coex_PRS,24,30,0.22361111111111098
27,coex_ATA,17,28,0.26298701298701266
28,coex_FIB,12,22,0.053030303030303205
29,coex_BRC,16,23,0.0901268115942031
30,coex_ATT,22,31,0.232831522927754
31,coex_TNV,25,17,2.057532051282051
32,coex_SPL,19,27,0.4621578099838968
33,coex_LCL,10,26,0.1068376068376069
34,coex_CLS,21,34,0.0034305317324188067
35,coex_EMC,30,34,0.519607843137255
36,coex_CLT,21,30,-0.19957983193277307
37,coex_core,38,38,0.6081081081081079
38,coex_WBL,20,30,0.18219563687543983
39,co-essential,2,4,0.625
40,GOBP,25,29,1.8583322320602615
41,ppi,47,49,0.19616623245042697
42,reactome_copathway,14,18,0.5210714285714284
43,MP,22,16,3.697285353535354
44,HP,37,34,0.9426879240466643
45,GI_net,13,21,0.5666882137470375
46,gene_gene_on_CbG_name_mapped,3,12,0.15000000000000013
47,gene_gene_on_GcG_name_mapped,22,35,0.04219640009113679
48,GOMF,9,7,0.6666666666666667
