,Layer,Peripheral_vascular_disease nodes,Kidney_failure nodes,sAB
0,coex_KDN,35,39,-0.1618453618453617
1,coex_BST,22,21,0.5826034430685596
2,coex_OVR,18,29,0.026854219948849067
3,coex_LNG,28,33,0.5994330528228833
4,coex_ITI,33,33,0.44820977633477654
5,coex_VGN,27,33,0.21683501683501682
6,coex_HRV,23,22,0.2954545454545454
7,coex_MSG,32,39,-0.007409037558685494
8,coex_ADV,29,24,0.08474079286887193
9,coex_EMS,15,22,0.04135954135954156
10,coex_SMU,18,26,-0.004261812059349612
11,coex_ARG,15,25,0.44857142857142884
12,coex_TST,22,33,-0.08030303030303032
13,coex_PIT,28,26,0.008241758241758212
14,coex_LVR,45,31,0.10851254480286743
15,coex_THY,21,24,-0.22880966952264403
16,coex_PNC,29,27,0.09991333698230243
17,coex_ATC,23,31,-0.14539504441327722
18,coex_BRO,19,27,0.2900053163211056
19,coex_SKN,27,29,0.05589940072698685
20,coex_ADS,22,27,0.33700955129526555
21,coex_GEJ,30,22,0.6745409762651144
22,coex_BRB,17,29,0.2625583566760037
23,coex_UTR,6,20,0.5387719298245615
24,coex_STM,27,27,0.0185185185185186
25,coex_HRA,27,26,1.0665116279069768
26,coex_PRS,22,18,0.04598617756512491
27,coex_ATA,31,31,0.15804597701149392
28,coex_FIB,15,18,0.12070707070707076
29,coex_BRC,19,17,0.6625386996904026
30,coex_ATT,24,30,0.023486786018755534
31,coex_TNV,24,27,0.8263636363636362
32,coex_SPL,30,30,0.18333333333333335
33,coex_LCL,11,15,0.401098901098901
34,coex_CLS,29,30,0.5541507024265644
35,coex_EMC,23,25,0.1991304347826084
36,coex_CLT,24,34,0.19405974038507967
37,coex_core,36,33,0.2669340463458112
38,coex_WBL,30,26,0.21484848484848484
39,co-essential,8,6,0.03571428571428603
40,GOBP,13,13,0.5
41,ppi,50,50,0.21999999999999997
42,reactome_copathway,23,22,0.24156945917285233
43,MP,19,10,0.871428571428571
44,HP,19,24,-0.06183140778776197
45,GI_net,13,23,-0.08386857707509865
46,gene_gene_on_CbG_name_mapped,20,15,-0.1345238095238095
47,gene_gene_on_GcG_name_mapped,28,23,-0.29876080867129473
48,GOMF,2,1,
