,Layer,Tetralogy_of_Fallot nodes,Hypertrophic_cardiomyopathy nodes,sAB
0,coex_KDN,40,31,0.2671370967741935
1,coex_BST,26,21,0.540659340659341
2,coex_OVR,33,21,0.32865846810422283
3,coex_LNG,33,22,0.5844768439108061
4,coex_ITI,38,25,0.315292066259808
5,coex_VGN,36,25,0.241140350877193
6,coex_HRV,25,37,1.0947166521360068
7,coex_MSG,38,46,0.31982129236133816
8,coex_ADV,30,15,0.7777777777777777
9,coex_EMS,24,35,0.34296645487463273
10,coex_SMU,22,37,1.59259567734144
11,coex_ARG,22,19,0.25701754385964914
12,coex_TST,36,30,0.05707070707070705
13,coex_PIT,31,21,-0.14313725490196094
14,coex_LVR,26,15,0.27774725274725265
15,coex_THY,31,34,1.219491882774615
16,coex_PNC,25,15,0.6230036630036633
17,coex_ATC,38,40,0.49892037786774623
18,coex_BRO,31,22,-0.06903945111492282
19,coex_SKN,33,19,0.13967611336032437
20,coex_ADS,28,19,0.2853208602902604
21,coex_GEJ,30,22,0.7636363636363637
22,coex_BRB,20,14,-0.09831932773109298
23,coex_UTR,28,16,1.2264610389610389
24,coex_STM,34,26,0.31853643314089575
25,coex_HRA,27,40,0.38953638953638947
26,coex_PRS,29,44,0.4048825524971016
27,coex_ATA,28,17,0.08557422969187689
28,coex_FIB,17,14,-0.10673624288425021
29,coex_BRC,26,27,0.3933481976960236
30,coex_ATT,32,31,0.5636693548387095
31,coex_TNV,21,26,0.7458333333333336
32,coex_SPL,27,18,0.28148148148148144
33,coex_LCL,9,19,-0.18333333333333357
34,coex_CLS,29,25,0.5115920763022741
35,coex_EMC,29,21,0.5416577425572928
36,coex_CLT,32,19,0.5319433694530442
37,coex_core,35,43,1.2163731245923026
38,coex_WBL,13,37,1.0022176022176024
39,co-essential,10,8,1.85
40,GOBP,12,31,0.5412273800157354
41,ppi,48,49,0.47279130724454754
42,reactome_copathway,16,7,0.6491228070175441
43,MP,14,28,0.4427950217423904
44,HP,27,35,0.7055982249530637
45,GI_net,11,11,-0.045454545454545414
46,gene_gene_on_CbG_name_mapped,5,8,0.3105769230769231
47,gene_gene_on_GcG_name_mapped,37,32,0.23946092831962384
48,GOMF,8,4,
