,Layer,Essential_hypertension nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,42,43,-0.21063448635268056
1,coex_BST,27,24,0.1491331757289205
2,coex_OVR,25,26,-0.0008295625942689178
3,coex_LNG,24,31,0.2056573802541548
4,coex_ITI,37,39,-0.056908122697596264
5,coex_VGN,32,33,-0.2155958624708625
6,coex_HRV,21,21,-0.23095238095238102
7,coex_MSG,38,39,0.012207091154459837
8,coex_ADV,28,21,-0.14965986394557795
9,coex_EMS,21,23,-0.2587991718426501
10,coex_SMU,15,27,-0.13247863247863245
11,coex_ARG,21,21,0.1428571428571428
12,coex_TST,33,32,-0.24699883449883453
13,coex_PIT,26,33,-0.13137568646043207
14,coex_LVR,23,27,-0.18971417069243168
15,coex_THY,18,24,0.00953491152558561
16,coex_PNC,25,25,-0.23965986394557826
17,coex_ATC,28,28,0.1607142857142858
18,coex_BRO,27,24,-0.10661764705882337
19,coex_SKN,30,30,0.08735632183908049
20,coex_ADS,24,26,-0.33653846153846123
21,coex_GEJ,27,18,0.36839702621625126
22,coex_BRB,25,25,-0.22333333333333294
23,coex_UTR,11,20,0.08145161290322589
24,coex_STM,28,30,0.12224958949096876
25,coex_HRA,21,25,0.30500000000000016
26,coex_PRS,23,30,-0.20750213128729778
27,coex_ATA,26,20,0.06162790697674403
28,coex_FIB,13,20,0.006342780026990624
29,coex_BRC,27,26,-0.22399612965650717
30,coex_ATT,23,26,-0.09738243123336288
31,coex_TNV,21,21,-0.43635307781649235
32,coex_SPL,22,29,0.04391913505213996
33,coex_LCL,9,14,0.14010989010989006
34,coex_CLS,32,26,0.27312665782493406
35,coex_EMC,24,31,0.11253550415905877
36,coex_CLT,35,37,-0.19214995046197103
37,coex_core,34,38,0.10083297962648552
38,coex_WBL,17,21,0.0364145658263304
39,co-essential,11,7,0.3071428571428574
40,GOBP,17,10,0.6622807017543852
41,ppi,48,50,0.07934523809523797
42,reactome_copathway,13,16,0.23574270557029164
43,MP,15,12,-0.1549999999999998
44,HP,26,24,0.3168589743589745
45,GI_net,17,14,0.0956271397447872
46,gene_gene_on_CbG_name_mapped,22,16,-0.23504784688995195
47,gene_gene_on_GcG_name_mapped,32,38,-0.23562030075187956
48,GOMF,7,5,
