,Layer,Colon_cancer nodes,Neoplasm_of_the_pancreas nodes,sAB
0,coex_KDN,45,43,-0.5670995670995671
1,coex_BST,32,34,-0.39246323529411775
2,coex_OVR,28,32,-0.44020310633213877
3,coex_LNG,41,39,-0.5667684957995485
4,coex_ITI,41,40,-0.6139462163852409
5,coex_VGN,39,35,-0.5864171864171865
6,coex_HRV,28,26,-0.881613876319759
7,coex_MSG,42,39,-0.40544023877357205
8,coex_ADV,25,32,-0.18448863636363644
9,coex_EMS,33,36,-0.32678571428571423
10,coex_SMU,28,31,-0.5142154182613452
11,coex_ARG,31,32,-0.5503696236559141
12,coex_TST,41,39,-0.2736788617886179
13,coex_PIT,37,35,-0.40660337222060505
14,coex_LVR,40,38,-0.4583839406207826
15,coex_THY,37,31,-0.6324939740499513
16,coex_PNC,34,38,-0.29221982613383646
17,coex_ATC,33,35,-0.5998626373626372
18,coex_BRO,35,31,-0.5895964250802961
19,coex_SKN,37,33,-0.1607142857142858
20,coex_ADS,32,31,-0.7943212365591399
21,coex_GEJ,35,34,-0.5454545454545454
22,coex_BRB,30,24,-0.3129629629629631
23,coex_UTR,28,28,-0.47617845117845126
24,coex_STM,40,39,-0.481126257708536
25,coex_HRA,33,34,-0.46238061031739686
26,coex_PRS,30,34,-0.5507273877292853
27,coex_ATA,35,28,-0.35275175644028134
28,coex_FIB,33,33,-0.29198717948717956
29,coex_BRC,36,32,-0.4266748366013071
30,coex_ATT,31,31,-0.2576180061964646
31,coex_TNV,27,22,-0.4143975991802078
32,coex_SPL,34,35,-0.23305531167690963
33,coex_LCL,29,24,-0.27375201288244755
34,coex_CLS,41,33,-0.20376461988304095
35,coex_EMC,37,36,-0.4487033310976971
36,coex_CLT,36,35,-0.2194190719766167
37,coex_core,42,42,-0.4100529100529102
38,coex_WBL,42,35,-0.46212121212121193
39,co-essential,17,19,-0.43881578947368416
40,GOBP,9,8,-1.6833333333333336
41,ppi,50,50,-0.27
42,reactome_copathway,35,36,-0.06830357142857135
43,MP,15,9,-0.02337662337662305
44,HP,22,25,-0.24431334622823986
45,GI_net,26,33,-0.21033653846153832
46,gene_gene_on_CbG_name_mapped,18,14,-0.20287698412698418
47,gene_gene_on_GcG_name_mapped,33,34,-0.37175087131188955
48,GOMF,4,3,
