,Layer,Celiac_disease nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,30,34,0.43137254901960764
1,coex_BST,15,28,0.4880952380952379
2,coex_OVR,19,33,0.13538445681302802
3,coex_LNG,29,25,0.978746630727763
4,coex_ITI,29,32,0.6921813171283211
5,coex_VGN,21,28,0.3401360544217691
6,coex_HRV,16,13,0.5934065934065931
7,coex_MSG,26,29,0.21329877019532173
8,coex_ADV,14,27,0.5416157916157918
9,coex_EMS,14,21,0.15714285714285703
10,coex_SMU,17,24,0.5230957767722475
11,coex_ARG,12,32,0.8681705899447836
12,coex_TST,23,32,0.13683300395256914
13,coex_PIT,21,32,0.3164669738863286
14,coex_LVR,19,29,0.35964912280701755
15,coex_THY,21,26,1.15879917184265
16,coex_PNC,25,24,0.3940217391304346
17,coex_ATC,22,30,0.3615384615384616
18,coex_BRO,24,27,0.20370370370370372
19,coex_SKN,21,30,0.08907563025210097
20,coex_ADS,20,23,0.9419936373276778
21,coex_GEJ,17,32,0.6346400478796168
22,coex_BRB,19,19,0.5526315789473681
23,coex_UTR,10,24,0.522794117647059
24,coex_STM,25,27,0.7317663817663815
25,coex_HRA,18,33,0.4185203094777563
26,coex_PRS,18,20,0.22016806722689086
27,coex_ATA,26,31,0.5624561074956693
28,coex_FIB,13,22,0.15684315684315697
29,coex_BRC,20,29,0.36130952380952364
30,coex_ATT,20,28,0.5924603174603176
31,coex_TNV,18,22,0.5770308123249297
32,coex_SPL,28,24,0.3281590413943354
33,coex_LCL,14,18,0.19444444444444464
34,coex_CLS,17,25,0.4424916307986613
35,coex_EMC,27,26,0.49564270152505463
36,coex_CLT,21,27,0.328846153846154
37,coex_core,34,36,0.5585901027077496
38,coex_WBL,29,28,0.6429518757104966
39,co-essential,4,9,-0.5705128205128203
40,GOBP,20,17,1.4125
41,ppi,50,45,0.19426900584795326
42,reactome_copathway,17,17,0.9645833333333336
43,MP,22,12,2.600044563279857
44,HP,17,37,0.8749043160807863
45,GI_net,13,17,-0.23882783882783842
46,gene_gene_on_CbG_name_mapped,8,6,0.5476190476190479
47,gene_gene_on_GcG_name_mapped,30,34,0.06801470588235281
48,GOMF,13,6,-1.5
