,Layer,Wilson_disease nodes,Huntington_disease nodes,sAB
0,coex_KDN,45,41,-0.005836011848490585
1,coex_BST,25,31,0.18622922776148565
2,coex_OVR,32,28,0.2916666666666665
3,coex_LNG,40,34,0.2647918816649468
4,coex_ITI,41,40,0.1702988557663354
5,coex_VGN,34,30,0.08609068627450989
6,coex_HRV,20,22,0.5136363636363637
7,coex_MSG,39,39,0.07692307692307687
8,coex_ADV,32,29,0.4286143301300167
9,coex_EMS,30,35,0.2899267399267398
10,coex_SMU,31,25,0.334591886608016
11,coex_ARG,29,32,0.0406214669304692
12,coex_TST,37,31,0.08102979639981545
13,coex_PIT,37,32,0.06282437328632984
14,coex_LVR,39,32,0.05796737466513591
15,coex_THY,29,32,0.20198537095088787
16,coex_PNC,34,28,0.03242748712388188
17,coex_ATC,29,31,0.4487900786448882
18,coex_BRO,38,35,0.1898970398970401
19,coex_SKN,31,36,0.14522697416435548
20,coex_ADS,26,29,0.5755494505494507
21,coex_GEJ,32,37,0.2360471070148491
22,coex_BRB,29,23,-0.1090128012916618
23,coex_UTR,25,26,0.03803921568627455
24,coex_STM,38,33,0.1795886964530402
25,coex_HRA,32,31,0.3437163978494624
26,coex_PRS,36,27,0.2185897435897437
27,coex_ATA,32,30,0.39812244301578037
28,coex_FIB,33,26,0.01840109043498872
29,coex_BRC,32,33,0.2300772144522143
30,coex_ATT,31,31,0.19354838709677447
31,coex_TNV,21,25,0.2863953488372095
32,coex_SPL,32,28,0.26473214285714297
33,coex_LCL,19,25,0.016865079365079527
34,coex_CLS,37,35,0.31196911196911215
35,coex_EMC,34,33,0.28135392555936933
36,coex_CLT,37,34,0.10062870356988007
37,coex_core,39,38,0.40159390159390185
38,coex_WBL,28,33,0.13729508196721296
39,co-essential,9,10,-0.08187134502923943
40,GOBP,22,12,1.0505050505050506
41,ppi,49,50,0.1618573490002062
42,reactome_copathway,20,15,0.657948717948718
43,MP,16,16,0.7800595238095238
44,HP,18,18,0.3055555555555558
45,GI_net,21,16,0.3187500000000001
46,gene_gene_on_CbG_name_mapped,18,11,0.27795193312434696
47,gene_gene_on_GcG_name_mapped,27,33,0.1313131313131315
48,GOMF,8,8,
