,Layer,Exanthem nodes,Keratitis nodes,sAB
0,coex_KDN,44,39,-0.37656570337293216
1,coex_BST,22,29,-0.45063628899835795
2,coex_OVR,37,41,-0.31385135135135145
3,coex_LNG,38,35,-0.23163914688682508
4,coex_ITI,42,35,-0.2545154379827441
5,coex_VGN,38,39,-0.2773759006635719
6,coex_HRV,24,20,-0.1898809523809526
7,coex_MSG,41,45,-0.2926766244406631
8,coex_ADV,30,30,-0.6369047619047616
9,coex_EMS,33,31,-0.3745570625610948
10,coex_SMU,31,25,-0.14417050691244238
11,coex_ARG,34,31,-0.2179075931447847
12,coex_TST,38,35,-0.20546400247193342
13,coex_PIT,35,37,-0.34343629343629356
14,coex_LVR,40,32,-0.2246527777777776
15,coex_THY,35,24,-0.38314164648910376
16,coex_PNC,36,32,-0.372140522875817
17,coex_ATC,34,30,-0.29950980392156845
18,coex_BRO,33,35,-0.31778711484593836
19,coex_SKN,40,37,-0.3010814458182878
20,coex_ADS,33,31,0.2016890213611524
21,coex_GEJ,40,40,-0.34138668349194656
22,coex_BRB,25,24,-0.2897826086956523
23,coex_UTR,25,22,-0.3500000000000001
24,coex_STM,37,33,-0.5696618696618696
25,coex_HRA,31,31,-0.21785714285714275
26,coex_PRS,26,32,-0.35147664835164805
27,coex_ATA,31,29,-0.23194289951798286
28,coex_FIB,20,21,-0.10870927318295731
29,coex_BRC,27,27,-0.37037037037037024
30,coex_ATT,35,27,-0.2797134238310708
31,coex_TNV,24,21,-0.22857142857142865
32,coex_SPL,42,28,-0.1904761904761907
33,coex_LCL,19,21,-0.6217948717948716
34,coex_CLS,34,30,0.0862745098039217
35,coex_EMC,37,34,-0.4214361420243773
36,coex_CLT,35,33,-0.3340874179583857
37,coex_core,46,43,-0.1435547115835163
38,coex_WBL,39,30,-0.15178372352285407
39,co-essential,11,6,-1.0280748663101607
40,GOBP,21,20,-0.35030959752322
41,ppi,50,50,-0.21999999999999997
42,reactome_copathway,21,20,-0.1807017543859648
43,MP,10,16,1.9347826086956523
44,HP,36,33,-0.1972441809398331
45,GI_net,26,25,-0.35346989966555187
46,gene_gene_on_CbG_name_mapped,11,6,0.3351158645276293
47,gene_gene_on_GcG_name_mapped,30,30,-0.3666666666666667
48,GOMF,9,2,
