,Layer,Glioma nodes,Gastrointestinal_stromal_tumor nodes,sAB
0,coex_KDN,44,50,0.004582162024022507
1,coex_BST,39,39,0.14777327935222662
2,coex_OVR,38,41,0.2641309602285211
3,coex_LNG,36,46,0.03947213385177317
4,coex_ITI,40,47,0.09140070921985832
5,coex_VGN,38,44,0.11923795075271326
6,coex_HRV,18,19,0.20424836601307206
7,coex_MSG,43,47,0.11358513387212055
8,coex_ADV,28,40,0.06953781512605017
9,coex_EMS,36,44,0.1531262854792268
10,coex_SMU,35,38,-0.013420537645483455
11,coex_ARG,37,41,-0.13847337018068728
12,coex_TST,39,46,0.043432356220080015
13,coex_PIT,43,44,0.12690760856358296
14,coex_LVR,40,38,0.08355263157894721
15,coex_THY,35,40,0.5590508068348519
16,coex_PNC,39,40,0.05731768231768264
17,coex_ATC,41,45,0.11192411924119239
18,coex_BRO,39,46,0.20237392615909244
19,coex_SKN,35,45,0.1950396825396825
20,coex_ADS,30,32,0.8116883116883118
21,coex_GEJ,35,41,0.2875179340028695
22,coex_BRB,31,30,0.44775171065493646
23,coex_UTR,30,45,0.14722222222222214
24,coex_STM,35,44,0.11340621403912543
25,coex_HRA,35,42,0.024458874458874513
26,coex_PRS,39,46,-0.009272739196012791
27,coex_ATA,34,36,0.3894581713282328
28,coex_FIB,37,37,-0.11196984655888764
29,coex_BRC,40,45,0.1516339869281047
30,coex_ATT,35,42,0.21501558369826768
31,coex_TNV,19,24,0.8892543859649122
32,coex_SPL,32,39,-0.014716504153123866
33,coex_LCL,30,30,-0.0862068965517242
34,coex_CLS,38,46,0.28224964094529303
35,coex_EMC,36,43,-0.12378038118552204
36,coex_CLT,37,47,0.09547085078999973
37,coex_core,41,49,0.11086776173884183
38,coex_WBL,38,35,-0.2079050365640127
39,co-essential,14,14,0.4054741554741552
40,GOBP,10,14,-1.0357142857142856
41,ppi,49,50,0.14126984126984143
42,reactome_copathway,27,16,0.5163461538461536
43,MP,11,14,-0.4181235431235435
44,HP,20,28,0.25419254658385104
45,GI_net,26,25,0.019387755102040938
46,gene_gene_on_CbG_name_mapped,11,12,0.25461133069828734
47,gene_gene_on_GcG_name_mapped,32,38,-0.04884868421052624
48,GOMF,4,3,
